
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.7                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Force Z at Wheel Center                            FSE08 front suspension                              

   WhTra  ForceZ_L ForceZ_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
     [mm]      [N]      [N]     [mm]     [mm]     [mm]     [mm]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]    [deg]    [deg]      [N]      [N]

     0.00  1000.00     0.00    -0.44     0.00    -1.23     0.00    14.55     0.00     2.57    -1.50    -0.41     0.00     0.14    -0.13     0.00   668.47
     0.00 -1000.00     0.00     0.03     0.00     0.07     0.00    -1.02     0.00     1.43    -1.50     0.03     0.00     0.13    -0.13  1646.76   668.47
     0.00     0.00  1000.00     0.00    -0.44     0.00     1.23     0.00    14.55     1.50    -2.57     0.00    -0.41     0.13    -0.14   668.47     0.00
     0.00     0.00 -1000.00     0.00     0.03     0.00    -0.07     0.00    -1.02     1.50    -1.43     0.00     0.03     0.13    -0.13   668.47  1646.76
     2.00  1000.00     0.00    -0.44    -0.06    -1.23     0.14    14.55     1.96     2.57    -1.64    -0.41    -0.06     0.14    -0.13     0.00   711.19
     2.00 -1000.00     0.00    -0.03    -0.06    -0.07     0.14     0.94     1.96     1.57    -1.64    -0.03    -0.06     0.13    -0.13  1688.55   711.19
     2.00     0.00  1000.00    -0.06    -0.44    -0.14     1.23     1.96    14.55     1.64    -2.57    -0.06    -0.41     0.13    -0.14   711.19     0.00
     2.00     0.00 -1000.00    -0.06    -0.03    -0.14     0.07     1.96     0.94     1.64    -1.57    -0.06    -0.03     0.13    -0.13   711.19  1688.55
     4.00  1000.00     0.00    -0.44    -0.12    -1.23     0.29    14.55     3.91     2.57    -1.78    -0.41    -0.11     0.14    -0.14     0.00   754.33
     4.00 -1000.00     0.00    -0.09    -0.12    -0.21     0.29     2.89     3.91     1.71    -1.78    -0.08    -0.11     0.14    -0.14  1730.78   754.33
     4.00     0.00  1000.00    -0.12    -0.44    -0.29     1.23     3.91    14.55     1.78    -2.57    -0.11    -0.41     0.14    -0.14   754.33     0.00
     4.00     0.00 -1000.00    -0.12    -0.09    -0.29     0.21     3.91     2.89     1.78    -1.71    -0.11    -0.08     0.14    -0.14   754.33  1730.78
     6.00  1000.00     0.00    -0.44    -0.17    -1.23     0.44    14.55     5.86     2.57    -1.92    -0.41    -0.17     0.14    -0.14     0.00   797.84
     6.00 -1000.00     0.00    -0.14    -0.17    -0.36     0.44     4.85     5.86     1.85    -1.92    -0.14    -0.17     0.14    -0.14  1773.40   797.84
     6.00     0.00  1000.00    -0.17    -0.44    -0.44     1.23     5.86    14.55     1.92    -2.57    -0.17    -0.41     0.14    -0.14   797.84     0.00
     6.00     0.00 -1000.00    -0.17    -0.14    -0.44     0.36     5.86     4.85     1.92    -1.85    -0.17    -0.14     0.14    -0.14   797.84  1773.40
     8.00  1000.00     0.00    -0.44    -0.23    -1.23     0.60    14.55     7.81     2.57    -2.07    -0.41    -0.22     0.14    -0.14     0.00   841.67
     8.00 -1000.00     0.00    -0.20    -0.23    -0.52     0.60     6.80     7.81     1.99    -2.07    -0.20    -0.22     0.14    -0.14  1816.34   841.67
     8.00     0.00  1000.00    -0.23    -0.44    -0.60     1.23     7.81    14.55     2.07    -2.57    -0.22    -0.41     0.14    -0.14   841.67     0.00
     8.00     0.00 -1000.00    -0.23    -0.20    -0.60     0.52     7.81     6.80     2.07    -1.99    -0.22    -0.20     0.14    -0.14   841.67  1816.34
    10.00  1000.00     0.00    -0.44    -0.29    -1.23     0.78    14.55     9.76     2.57    -2.21    -0.41    -0.28     0.14    -0.14     0.00   885.74
    10.00 -1000.00     0.00    -0.26    -0.29    -0.69     0.78     8.75     9.76     2.14    -2.21    -0.25    -0.28     0.14    -0.14  1859.56   885.74
