
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.7                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Torque Y at Wheel Center                           FSE08 front suspension                              

   WhTra  TorquY_L TorquY_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
     [mm]     [Nm]     [Nm]     [mm]     [mm]     [mm]     [mm]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]    [deg]    [deg]      [N]      [N]

     0.00   100.00     0.00     0.16     0.00    -0.08     0.00    -0.05     0.00     1.51    -1.50     0.46     0.00    -0.34    -0.13   716.07   668.47
     0.00  -100.00     0.00    -0.17     0.00     0.08     0.00     0.05     0.00     1.48    -1.50    -0.47     0.00     0.61    -0.13   620.90   668.47
     0.00     0.00   100.00     0.00     0.16     0.00     0.08     0.00    -0.05     1.50    -1.51     0.00     0.46     0.13     0.34   668.47   716.07
     0.00     0.00  -100.00     0.00    -0.17     0.00    -0.08     0.00     0.05     1.50    -1.48     0.00    -0.47     0.13    -0.61   668.47   620.90
     2.00   100.00     0.00     0.11    -0.06    -0.22     0.14     1.90     1.96     1.65    -1.64     0.41    -0.06    -0.34    -0.13   758.99   711.19
     2.00  -100.00     0.00    -0.23    -0.06    -0.06     0.14     2.00     1.96     1.62    -1.64    -0.52    -0.06     0.62    -0.13   663.42   711.19
     2.00     0.00   100.00    -0.06     0.11    -0.14     0.22     1.96     1.90     1.64    -1.65    -0.06     0.41     0.13     0.34   711.19   758.99
     2.00     0.00  -100.00    -0.06    -0.23    -0.14     0.06     1.96     2.00     1.64    -1.62    -0.06    -0.52     0.13    -0.62   711.19   663.42
     4.00   100.00     0.00     0.06    -0.12    -0.37     0.29     3.86     3.91     1.79    -1.78     0.36    -0.11    -0.35    -0.14   802.32   754.33
     4.00  -100.00     0.00    -0.29    -0.12    -0.21     0.29     3.95     3.91     1.76    -1.78    -0.58    -0.11     0.62    -0.14   706.36   754.33
     4.00     0.00   100.00    -0.12     0.06    -0.29     0.37     3.91     3.86     1.78    -1.79    -0.11     0.36     0.14     0.35   754.33   802.32
     4.00     0.00  -100.00    -0.12    -0.29    -0.29     0.21     3.91     3.95     1.78    -1.76    -0.11    -0.58     0.14    -0.62   754.33   706.36
     6.00   100.00     0.00     0.00    -0.17    -0.53     0.44     5.81     5.86     1.94    -1.92     0.31    -0.17    -0.35    -0.14   846.03   797.84
     6.00  -100.00     0.00    -0.36    -0.17    -0.36     0.44     5.91     5.86     1.90    -1.92    -0.64    -0.17     0.63    -0.14   749.68   797.84
     6.00     0.00   100.00    -0.17     0.00    -0.44     0.53     5.86     5.81     1.92    -1.94    -0.17     0.31     0.14     0.35   797.84   846.03
