
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.7                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Steering Kinematics                                             FSE08 front suspension                              

   WhlTra  TraRack  WhlAngL  WhlAngR  CamberL KPOffset  TrackCh Ackerman TrackDif SteerDif AckError AckPCent StRodAng TrackDia  TurnDia
     [mm]     [mm]    [deg]    [deg]    [deg]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]      [%]    [deg]      [m]      [m]

     0.00     0.00     0.13    -0.13    -1.50    20.77     0.00     0.13     0.00     0.27    -0.27 ********    97.59 ******** ********
     0.00     2.00    -2.26    -2.54    -1.68    20.79    -0.14    -2.45    -0.09    -0.28     0.19   315.03    95.17    78.02    77.82
     0.00     4.00    -4.65    -4.97    -1.84    20.81    -0.56    -4.64    -0.33    -0.32    -0.01    97.11    92.77    38.01    37.75
     0.00     6.00    -7.04    -7.42    -1.99    20.83    -1.27    -6.72    -0.70    -0.38    -0.32    54.34    90.38    25.18    24.85
     0.00     8.00    -9.42    -9.90    -2.12    20.85    -2.27    -8.69    -1.21    -0.48    -0.73    39.32    88.01    18.85    18.46
     0.00    10.00   -11.81   -12.41    -2.24    20.87    -3.55   -10.58    -1.84    -0.60    -1.24    32.64    85.64    15.09    14.63
     0.00    12.00   -14.21   -14.97    -2.34    20.89    -5.12   -12.39    -2.58    -0.76    -1.82    29.36    83.27    12.59    12.06
     0.00    14.00   -16.62   -17.57    -2.43    20.91    -6.99   -14.15    -3.43    -0.95    -2.48    27.77    80.90    10.81    10.22
     0.00    16.00   -19.05   -20.24    -2.50    20.94    -9.15   -15.86    -4.38    -1.19    -3.19    27.16    78.52     9.48     8.82
     0.00    18.00   -21.50   -22.98    -2.56    20.96   -11.62   -17.53    -5.45    -1.48    -3.97    27.18    76.14     8.45     7.72
     0.00    20.00   -23.98   -25.81    -2.60    20.98   -14.40   -19.19    -6.62    -1.83    -4.79    27.67    73.74     7.62     7.57
     0.00    22.00   -26.48   -28.74    -2.63    21.00   -17.49   -20.84    -7.90    -2.25    -5.64    28.55    71.32     6.95     8.31
     0.00     0.00     0.13    -0.13    -1.50    20.77     0.00     0.13     0.00     0.27    -0.27 ********    97.59 ******** ********
