
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.7                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Torque Z at Wheel Center                           FSE08 front suspension                              

   WhTra  TorquZ_L TorquZ_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
     [mm]     [Nm]     [Nm]     [mm]     [mm]     [mm]     [mm]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]    [deg]    [deg]      [N]      [N]

     0.00   100.00     0.00    -2.32     0.00     0.18     0.00    -0.01     0.00     1.32    -1.50    -0.46     0.00     2.88    -0.13   669.03   668.47
     0.00  -100.00     0.00     2.27     0.00    -0.29     0.00    -0.01     0.00     1.65    -1.50     0.46     0.00    -2.56    -0.13   669.25   668.47
     0.00     0.00   100.00     0.00     2.27     0.00     0.29     0.00    -0.01     1.50    -1.65     0.00     0.46     0.13     2.56   668.47   669.25
     0.00     0.00  -100.00     0.00    -2.32     0.00    -0.18     0.00    -0.01     1.50    -1.32     0.00    -0.46     0.13    -2.88   668.47   669.03
     2.00   100.00     0.00    -2.38    -0.06     0.04     0.14     1.95     1.96     1.46    -1.64    -0.52    -0.06     2.88    -0.13   712.00   711.19
     2.00  -100.00     0.00     2.21    -0.06    -0.43     0.14     1.95     1.96     1.79    -1.64     0.41    -0.06    -2.56    -0.13   711.70   711.19
     2.00     0.00   100.00    -0.06     2.21    -0.14     0.43     1.96     1.95     1.64    -1.79    -0.06     0.41     0.13     2.56   711.19   711.70
     2.00     0.00  -100.00    -0.06    -2.38    -0.14    -0.04     1.96     1.95     1.64    -1.46    -0.06    -0.52     0.13    -2.88   711.19   712.00
     4.00   100.00     0.00    -2.44    -0.12    -0.11     0.29     3.90     3.91     1.60    -1.78    -0.58    -0.11     2.88    -0.14   755.38   754.33
     4.00  -100.00     0.00     2.15    -0.12    -0.57     0.29     3.90     3.91     1.94    -1.78     0.36    -0.11    -2.55    -0.14   754.57   754.33
     4.00     0.00   100.00    -0.12     2.15    -0.29     0.57     3.91     3.90     1.78    -1.94    -0.11     0.36     0.14     2.55   754.33   754.57
     4.00     0.00  -100.00    -0.12    -2.44    -0.29     0.11     3.91     3.90     1.78    -1.60    -0.11    -0.58     0.14    -2.88   754.33   755.38
     6.00   100.00     0.00    -2.49    -0.17    -0.26     0.44     5.86     5.86     1.74    -1.92    -0.64    -0.17     2.88    -0.14   799.15   797.84
     6.00  -100.00     0.00     2.09    -0.17    -0.73     0.44     5.86     5.86     2.08    -1.92     0.31    -0.17    -2.55    -0.14   797.82   797.84
