
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.7                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Torque Z at Wheel Center                           FSE06 rear suspension                               

   WhTra  TorquZ_L TorquZ_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
     [mm]     [Nm]     [Nm]     [mm]     [mm]     [mm]     [mm]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]    [deg]    [deg]      [N]      [N]

     0.00   100.00     0.00    -0.63     0.00     0.00     0.00    -0.08     0.00     1.16    -1.30    -0.10     0.00     0.73     0.20   719.90   712.01
     0.00  -100.00     0.00     0.63     0.00    -0.01     0.00     0.08     0.00     1.44    -1.30     0.10     0.00    -1.12     0.20   704.04   712.01
     0.00     0.00   100.00     0.00     0.63     0.00     0.01     0.00     0.08     1.30    -1.44     0.00     0.10    -0.20     1.12   712.01   704.04
     0.00     0.00  -100.00     0.00    -0.63     0.00     0.00     0.00    -0.08     1.30    -1.16     0.00    -0.10    -0.20    -0.73   712.01   719.90
     2.00   100.00     0.00    -0.70    -0.07    -0.09     0.09     1.43     1.51     1.30    -1.44    -0.03     0.07     0.71     0.21   767.01   759.48
     2.00  -100.00     0.00     0.55    -0.07    -0.11     0.09     1.58     1.51     1.58    -1.44     0.17     0.07    -1.13     0.21   751.85   759.48
     2.00     0.00   100.00    -0.07     0.55    -0.09     0.11     1.51     1.58     1.44    -1.58     0.07     0.17    -0.21     1.13   759.48   751.85
     2.00     0.00  -100.00    -0.07    -0.70    -0.09     0.09     1.51     1.43     1.44    -1.30     0.07    -0.03    -0.21    -0.71   759.48   767.01
     4.00   100.00     0.00    -0.78    -0.15    -0.19     0.19     2.93     3.01     1.44    -1.58     0.04     0.14     0.70     0.22   814.35   807.18
     4.00  -100.00     0.00     0.48    -0.15    -0.21     0.19     3.08     3.01     1.71    -1.58     0.24     0.14    -1.14     0.22   799.88   807.18
     4.00     0.00   100.00    -0.15     0.48    -0.19     0.21     3.01     3.08     1.58    -1.71     0.14     0.24    -0.22     1.14   807.18   799.88
     4.00     0.00  -100.00    -0.15    -0.78    -0.19     0.19     3.01     2.93     1.58    -1.44     0.14     0.04    -0.22    -0.70   807.18   814.35
     6.00   100.00     0.00    -0.85    -0.22    -0.30     0.30     4.44     4.51     1.58    -1.72     0.11     0.21     0.69     0.23   861.91   855.09
     6.00  -100.00     0.00     0.41    -0.22    -0.31     0.30     4.57     4.51     1.85    -1.72     0.31     0.21    -1.15     0.23   848.13   855.09
     6.00     0.00   100.00    -0.22     0.41    -0.30     0.31     4.51     4.57     1.72    -1.85     0.21     0.31    -0.23     1.15   855.09   848.13
     6.00     0.00  -100.00    -0.22    -0.85    -0.30     0.30     4.51     4.44     1.72    -1.58     0.21     0.11    -0.23    -0.69   855.09   861.91
     8.00   100.00     0.00    -0.93    -0.30    -0.41     0.41     5.94     6.00     1.72    -1.86     0.18     0.28     0.68     0.24   909.66   903.19
     8.00  -100.00     0.00     0.33    -0.30    -0.42     0.41     6.07     6.00     1.99    -1.86     0.38     0.28    -1.16     0.24   896.57   903.19
     8.00     0.00   100.00    -0.30     0.33    -0.41     0.42     6.00     6.07     1.86    -1.99     0.28     0.38    -0.24     1.16   903.19   896.57
     8.00     0.00  -100.00    -0.30    -0.93    -0.41     0.41     6.00     5.94     1.86    -1.72     0.28     0.18    -0.24    -0.68   903.19   909.66
    10.00   100.00     0.00    -1.00    -0.37    -0.52     0.53     7.44     7.49     1.86    -2.00     0.25     0.35     0.68     0.25   957.58   951.46
    10.00  -100.00     0.00     0.26    -0.37    -0.54     0.53     7.56     7.49     2.13    -2.00     0.45     0.35    -1.17     0.25   945.18   951.46
    10.00     0.00   100.00    -0.37     0.26    -0.53     0.54     7.49     7.56     2.00    -2.13     0.35     0.45    -0.25     1.17   951.46   945.18
    10.00     0.00  -100.00    -0.37    -1.00    -0.53     0.52     7.49     7.44     2.00    -1.86     0.35     0.25    -0.25    -0.68   951.46   957.58
    12.00   100.00     0.00    -1.08    -0.45    -0.65     0.65     8.93     8.99     2.00    -2.13     0.32     0.42     0.67     0.26  1005.65   999.89
    12.00  -100.00     0.00     0.18    -0.45    -0.66     0.65     9.04     8.99     2.26    -2.13     0.52     0.42    -1.18     0.26   993.94   999.89
    12.00     0.00   100.00    -0.45     0.18    -0.65     0.66     8.99     9.04     2.13    -2.26     0.42     0.52    -0.26     1.18   999.89   993.94
    12.00     0.00  -100.00    -0.45    -1.08    -0.65     0.65     8.99     8.93     2.13    -2.00     0.42     0.32    -0.26    -0.67   999.89  1005.65
    14.00   100.00     0.00    -1.15    -0.52    -0.78     0.78    10.42    10.47     2.14    -2.27     0.39     0.49     0.66     0.27  1053.84  1048.43
    14.00  -100.00     0.00     0.11    -0.52    -0.79     0.78    10.53    10.47     2.40    -2.27     0.59     0.49    -1.19     0.27  1042.82  1048.43
    14.00     0.00   100.00    -0.52     0.11    -0.78     0.79    10.47    10.53     2.27    -2.40     0.49     0.59    -0.27     1.19  1048.43  1042.82
    14.00     0.00  -100.00    -0.52    -1.15    -0.78     0.78    10.47    10.42     2.27    -2.14     0.49     0.39    -0.27    -0.66  1048.43  1053.84
    16.00   100.00     0.00    -1.23    -0.60    -0.91     0.91    11.91    11.96     2.28    -2.41     0.47     0.56     0.65     0.28  1102.12  1097.07
    16.00  -100.00     0.00     0.04    -0.60    -0.92     0.91    12.01    11.96     2.54    -2.41     0.66     0.56    -1.20     0.28  1091.80  1097.07
    16.00     0.00   100.00    -0.60     0.04    -0.91     0.92    11.96    12.01     2.41    -2.54     0.56     0.66    -0.28     1.20  1097.07  1091.80
    16.00     0.00  -100.00    -0.60    -1.23    -0.91     0.91    11.96    11.91     2.41    -2.28     0.56     0.47    -0.28    -0.65  1097.07  1102.12
    18.00   100.00     0.00    -1.30    -0.67    -1.05     1.05    13.40    13.45     2.42    -2.55     0.54     0.63     0.64     0.29  1150.47  1145.77
    18.00  -100.00     0.00    -0.04    -0.67    -1.06     1.05    13.49    13.45     2.67    -2.55     0.74     0.63    -1.21     0.29  1140.84  1145.77
    18.00     0.00   100.00    -0.67    -0.04    -1.05     1.06    13.45    13.49     2.55    -2.67     0.63     0.74    -0.29     1.21  1145.77  1140.84
    18.00     0.00  -100.00    -0.67    -1.30    -1.05     1.05    13.45    13.40     2.55    -2.42     0.63     0.54    -0.29    -0.64  1145.77  1150.47
    20.00   100.00     0.00    -1.38    -0.75    -1.20     1.20    14.89    14.93     2.56    -2.69     0.61     0.71     0.63     0.30  1198.84  1194.50
    20.00  -100.00     0.00    -0.11    -0.75    -1.21     1.20    14.97    14.93     2.81    -2.69     0.81     0.71    -1.22     0.30  1189.91  1194.50
    20.00     0.00   100.00    -0.75    -0.11    -1.20     1.21    14.93    14.97     2.69    -2.81     0.71     0.81    -0.30     1.22  1194.50  1189.91
    20.00     0.00  -100.00    -0.75    -1.38    -1.20     1.20    14.93    14.89     2.69    -2.56     0.71     0.61    -0.30    -0.63  1194.50  1198.84
    22.00   100.00     0.00    -1.45    -0.82    -1.35     1.35    16.38    16.41     2.70    -2.82     0.68     0.78     0.62     0.31  1247.19  1243.22
    22.00  -100.00     0.00    -0.19    -0.82    -1.36     1.35    16.45    16.41     2.95    -2.82     0.88     0.78    -1.23     0.31  1238.97  1243.22
    22.00     0.00   100.00    -0.82    -0.19    -1.35     1.36    16.41    16.45     2.82    -2.95     0.78     0.88    -0.31     1.23  1243.22  1238.97
    22.00     0.00  -100.00    -0.82    -1.45    -1.35     1.35    16.41    16.38     2.82    -2.70     0.78     0.68    -0.31    -0.62  1243.22  1247.19
    24.00   100.00     0.00    -1.53    -0.90    -1.51     1.51    17.87    17.90     2.84    -2.96     0.75     0.85     0.62     0.31  1295.49  1291.88
    24.00  -100.00     0.00    -0.26    -0.90    -1.52     1.51    17.93    17.90     3.08    -2.96     0.95     0.85    -1.24     0.31  1287.97  1291.88
    24.00     0.00   100.00    -0.90    -0.26    -1.51     1.52    17.90    17.93     2.96    -3.08     0.85     0.95    -0.31     1.24  1291.88  1287.97
    24.00     0.00  -100.00    -0.90    -1.53    -1.51     1.51    17.90    17.87     2.96    -2.84     0.85     0.75    -0.31    -0.62  1291.88  1295.49
