
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.7                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Force Z at Wheel Center                            FSE06 rear suspension                               

   WhTra  ForceZ_L ForceZ_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
     [mm]      [N]      [N]     [mm]     [mm]     [mm]     [mm]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]    [deg]    [deg]      [N]      [N]

     0.00  1000.00     0.00    -0.44     0.00    -0.63     0.00     8.81     0.00     2.12    -1.30     0.41     0.00    -0.25     0.20     0.00   712.01
     0.00 -1000.00     0.00     0.39     0.00     0.39     0.00    -7.94     0.00     0.56    -1.30    -0.37     0.00    -0.14     0.20  1473.02   712.01
     0.00     0.00  1000.00     0.00    -0.44     0.00     0.63     0.00     8.81     1.30    -2.12     0.00     0.41    -0.20     0.25   712.01     0.00
     0.00     0.00 -1000.00     0.00     0.39     0.00    -0.39     0.00    -7.94     1.30    -0.56     0.00    -0.37    -0.20     0.14   712.01  1473.02
     2.00  1000.00     0.00    -0.46    -0.07    -0.67     0.09     9.25     1.51     2.16    -1.44     0.43     0.07    -0.26     0.21    14.51   759.48
     2.00 -1000.00     0.00     0.31    -0.07     0.33     0.09    -6.41     1.51     0.70    -1.44    -0.30     0.07    -0.15     0.21  1518.30   759.48
     2.00     0.00  1000.00    -0.07    -0.46    -0.09     0.67     1.51     9.25     1.44    -2.16     0.07     0.43    -0.21     0.26   759.48    14.51
     2.00     0.00 -1000.00    -0.07     0.31    -0.09    -0.33     1.51    -6.41     1.44    -0.70     0.07    -0.30    -0.21     0.15   759.48  1518.30
     4.00  1000.00     0.00    -0.54    -0.15    -0.80     0.19    10.73     3.01     2.29    -1.58     0.50     0.14    -0.27     0.22    63.80   807.18
     4.00 -1000.00     0.00     0.24    -0.15     0.26     0.19    -4.88     3.01     0.85    -1.58    -0.23     0.14    -0.16     0.22  1563.88   807.18
     4.00     0.00  1000.00    -0.15    -0.54    -0.19     0.80     3.01    10.73     1.58    -2.29     0.14     0.50    -0.22     0.27   807.18    63.80
     4.00     0.00 -1000.00    -0.15     0.24    -0.19    -0.26     3.01    -4.88     1.58    -0.85     0.14    -0.23    -0.22     0.16   807.18  1563.88
     6.00  1000.00     0.00    -0.61    -0.22    -0.93     0.30    12.21     4.51     2.43    -1.72     0.57     0.21    -0.27     0.23   113.17   855.09
     6.00 -1000.00     0.00     0.16    -0.22     0.19     0.30    -3.35     4.51     0.99    -1.72    -0.16     0.21    -0.17     0.23  1609.75   855.09
     6.00     0.00  1000.00    -0.22    -0.61    -0.30     0.93     4.51    12.21     1.72    -2.43     0.21     0.57    -0.23     0.27   855.09   113.17
     6.00     0.00 -1000.00    -0.22     0.16    -0.30    -0.19     4.51    -3.35     1.72    -0.99     0.21    -0.16    -0.23     0.17   855.09  1609.75
     8.00  1000.00     0.00    -0.69    -0.30    -1.08     0.41    13.69     6.00     2.57    -1.86     0.64     0.28    -0.28     0.24   162.60   903.19
     8.00 -1000.00     0.00     0.09    -0.30     0.11     0.41    -1.83     6.00     1.13    -1.86    -0.09     0.28    -0.19     0.24  1655.90   903.19
     8.00     0.00  1000.00    -0.30    -0.69    -0.41     1.08     6.00    13.69     1.86    -2.57     0.28     0.64    -0.24     0.28   903.19   162.60
     8.00     0.00 -1000.00    -0.30     0.09    -0.41    -0.11     6.00    -1.83     1.86    -1.13     0.28    -0.09    -0.24     0.19   903.19  1655.90
    10.00  1000.00     0.00    -0.76    -0.37    -1.22     0.53    15.16     7.49     2.71    -2.00     0.71     0.35    -0.29     0.25   212.05   951.46
    10.00 -1000.00     0.00     0.02    -0.37     0.02     0.53    -0.32     7.49     1.27    -2.00    -0.01     0.35    -0.20     0.25  1702.31   951.46
    10.00     0.00  1000.00    -0.37    -0.76    -0.53     1.22     7.49    15.16     2.00    -2.71     0.35     0.71    -0.25     0.29   951.46   212.05
