
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.7                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Parallel Kinematics                                             FSE08 front suspension                              

   WhlTra      Toe   Camber  TrackCh  LongTra    RCLat   RCVert   RCHeig   Anti-S   Anti-D KPOffset   KPIncl   Caster  CastAng
     [mm]    [min]    [deg]     [mm]     [mm]     [mm]     [mm]     [mm]      [%]      [%]     [mm]    [deg]     [mm]    [deg]

     0.00    -8.00    -1.50     0.00     0.00     0.00   -83.69   116.31    -4.93    49.72    20.77     8.35    13.43     4.66
     2.00    -8.09    -1.64     0.70     0.06     0.00   -83.26   114.79    -5.15    49.42    20.78     8.49    13.62     4.72
     4.00    -8.17    -1.78     1.39     0.12     0.00   -82.82   113.26    -5.38    49.12    20.78     8.63    13.81     4.77
     6.00    -8.24    -1.92     2.07     0.18     0.00   -82.39   111.74    -5.62    48.82    20.79     8.77    14.00     4.83
     8.00    -8.30    -2.07     2.74     0.23     0.00   -81.95   110.22    -5.85    48.51    20.80     8.92    14.19     4.89
    10.00    -8.36    -2.21     3.40     0.29     0.00   -81.52   108.70    -6.09    48.20    20.80     9.06    14.38     4.95
    12.00    -8.40    -2.35     4.05     0.35     0.00   -81.08   107.18    -6.34    47.88    20.81     9.21    14.57     5.00
    14.00    -8.44    -2.50     4.69     0.41     0.00   -80.64   105.66    -6.58    47.56    20.82     9.35    14.76     5.06
    16.00    -8.47    -2.65     5.33     0.47     0.00   -80.21   104.14    -6.83    47.23    20.82     9.50    14.96     5.12
    18.00    -8.50    -2.80     5.95     0.53     0.00   -79.77   102.62    -7.09    46.90    20.83     9.65    15.15     5.18
    20.00    -8.51    -2.94     6.57     0.59     0.00   -79.33   101.10    -7.34    46.56    20.84     9.80    15.35     5.24
    22.00    -8.52    -3.09     7.17     0.64     0.00   -78.89    99.57    -7.61    46.22    20.85     9.95    15.54     5.30
    24.00    -8.53    -3.25     7.77     0.70     0.00   -78.45    98.05    -7.87    45.87    20.86    10.10    15.74     5.36
    26.00    -8.54    -3.40     8.36     0.76     0.00   -78.01    96.53    -8.14    45.52    20.86    10.26    15.94     5.42
    28.00    -8.54    -3.55     8.94     0.82     0.00   -77.57    95.00    -8.42    45.16    20.87    10.41    16.13     5.48
    30.00    -8.55    -3.71     9.51     0.88     0.00   -77.12    93.47    -8.70    44.79    20.88    10.57    16.33     5.54
    32.00    -8.55    -3.86    10.07     0.94     0.00   -76.68    91.94    -8.98    44.41    20.89    10.72    16.53     5.60
    34.00    -8.57    -4.02    10.63     1.00     0.00   -76.23    90.41    -9.27    44.03    20.90    10.88    16.73     5.67
    36.00    -8.60    -4.18    11.17     1.07     0.00   -75.79    88.87    -9.57    43.64    20.91    11.04    16.92     5.73
    38.00    -8.64    -4.34    11.71     1.13     0.00   -75.34    87.32    -9.87    43.25    20.92    11.21    17.12     5.79
     0.00    -8.00    -1.50     0.00     0.00     0.00   -83.69   116.31    -4.93    49.72    20.77     8.35    13.43     4.66
    -2.00    -7.90    -1.36    -0.71    -0.06     0.00   -84.13   117.83    -4.70    50.01    20.76     8.21    13.24     4.60
    -4.00    -7.79    -1.22    -1.42    -0.12     0.00   -84.56   119.35    -4.48    50.30    20.76     8.07    13.06     4.55
    -6.00    -7.68    -1.09    -2.15    -0.17     0.00   -84.99   120.87    -4.27    50.58    20.75     7.93    12.87     4.49
    -8.00    -7.55    -0.95    -2.89    -0.23     0.00   -85.43   122.40    -4.05    50.86    20.75     7.80    12.68     4.44
   -10.00    -7.41    -0.82    -3.63    -0.29     0.00   -85.86   123.92    -3.84    51.13    20.74     7.66    12.50     4.38
   -12.00    -7.27    -0.68    -4.39    -0.35     0.00   -86.29   125.45    -3.63    51.41    20.74     7.53    12.32     4.33
   -14.00    -7.12    -0.55    -5.15    -0.41     0.00   -86.72   126.97    -3.43    51.67    20.73     7.39    12.13     4.28
   -16.00    -6.95    -0.42    -5.93    -0.46     0.00   -87.15   128.50    -3.22    51.94    20.73     7.26    11.95     4.22
   -18.00    -6.78    -0.29    -6.71    -0.52     0.00   -87.58   130.02    -3.02    52.20    20.72     7.13    11.77     4.17
   -20.00    -6.60    -0.16    -7.51    -0.58     0.00   -88.01   131.55    -2.82    52.46    20.72     7.00    11.59     4.12
   -22.00    -6.41    -0.03    -8.31    -0.64     0.00   -88.44   133.08    -2.63    52.71    20.72     6.87    11.41     4.06
   -24.00    -6.22     0.10    -9.12    -0.70     0.00   -88.87   134.61    -2.44    52.96    20.71     6.74    11.23     4.01
   -26.00    -6.01     0.23    -9.95    -0.75     0.00   -89.29   136.13    -2.24    53.21    20.71     6.61    11.06     3.96
   -28.00    -5.80     0.35   -10.78    -0.81     0.00   -89.72   137.66    -2.06    53.45    20.70     6.49    10.88     3.91
   -30.00    -5.57     0.48   -11.62    -0.87     0.00   -90.15   139.19    -1.87    53.69    20.70     6.36    10.70     3.86
   -32.00    -5.34     0.60   -12.48    -0.92     0.00   -90.57   140.72    -1.69    53.93    20.70     6.24    10.53     3.81
   -34.00    -5.10     0.72   -13.34    -0.98     0.00   -91.00   142.25    -1.51    54.16    20.69     6.11    10.35     3.75
   -36.00    -4.98     0.79   -13.79    -1.01     0.00   -91.22   143.05    -1.41    54.29    20.69     6.05    10.26     3.73
