
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.7                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Force X at Wheel Center                            FSE08 front suspension                              

   WhTra  ForceX_L ForceX_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
     [mm]      [N]      [N]     [mm]     [mm]     [mm]     [mm]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]    [deg]    [deg]      [N]      [N]

     0.00  1000.00     0.00     1.66     0.00    -0.10     0.00    -0.03     0.00     1.60    -1.50     0.09     0.00    -1.18    -0.13   697.65   668.47
     0.00 -1000.00     0.00    -1.68     0.00     0.08     0.00     0.03     0.00     1.40    -1.50    -0.09     0.00     1.46    -0.13   639.41   668.47
     0.00     0.00  1000.00     0.00     1.66     0.00     0.10     0.00    -0.03     1.50    -1.60     0.00     0.09     0.13     1.18   668.47   697.65
     0.00     0.00 -1000.00     0.00    -1.68     0.00    -0.08     0.00     0.03     1.50    -1.40     0.00    -0.09     0.13    -1.46   668.47   639.41
     2.00  1000.00     0.00     1.60    -0.06    -0.24     0.14     1.92     1.96     1.74    -1.64     0.04    -0.06    -1.17    -0.13   740.38   711.19
     2.00 -1000.00     0.00    -1.73    -0.06    -0.06     0.14     1.99     1.96     1.54    -1.64    -0.15    -0.06     1.46    -0.13   682.11   711.19
     2.00     0.00  1000.00    -0.06     1.60    -0.14     0.24     1.96     1.92     1.64    -1.74    -0.06     0.04     0.13     1.17   711.19   740.38
     2.00     0.00 -1000.00    -0.06    -1.73    -0.14     0.06     1.96     1.99     1.64    -1.54    -0.06    -0.15     0.13    -1.46   711.19   682.11
     4.00  1000.00     0.00     1.55    -0.12    -0.39     0.29     3.88     3.91     1.88    -1.78    -0.01    -0.11    -1.17    -0.14   783.54   754.33
     4.00 -1000.00     0.00    -1.79    -0.12    -0.21     0.29     3.94     3.91     1.68    -1.78    -0.21    -0.11     1.46    -0.14   725.24   754.33
     4.00     0.00  1000.00    -0.12     1.55    -0.29     0.39     3.91     3.88     1.78    -1.88    -0.11    -0.01     0.14     1.17   754.33   783.54
     4.00     0.00 -1000.00    -0.12    -1.79    -0.29     0.21     3.91     3.94     1.78    -1.68    -0.11    -0.21     0.14    -1.46   754.33   725.24
     6.00  1000.00     0.00     1.49    -0.17    -0.54     0.44     5.83     5.86     2.02    -1.92    -0.06    -0.17    -1.17    -0.14   827.07   797.84
     6.00 -1000.00     0.00    -1.85    -0.17    -0.36     0.44     5.89     5.86     1.82    -1.92    -0.27    -0.17     1.46    -0.14   768.74   797.84
     6.00     0.00  1000.00    -0.17     1.49    -0.44     0.54     5.86     5.83     1.92    -2.02    -0.17    -0.06     0.14     1.17   797.84   827.07
     6.00     0.00 -1000.00    -0.17    -1.85    -0.44     0.36     5.86     5.89     1.92    -1.82    -0.17    -0.27     0.14    -1.46   797.84   768.74
     8.00  1000.00     0.00     1.43    -0.23    -0.71     0.60     7.78     7.81     2.16    -2.07    -0.12    -0.22    -1.17    -0.14   870.91   841.67
     8.00 -1000.00     0.00    -1.91    -0.23    -0.53     0.60     7.84     7.81     1.96    -2.07    -0.33    -0.22     1.46    -0.14   812.55   841.67
     8.00     0.00  1000.00    -0.23     1.43    -0.60     0.71     7.81     7.78     2.07    -2.16    -0.22    -0.12     0.14     1.17   841.67   870.91
     8.00     0.00 -1000.00    -0.23    -1.91    -0.60     0.53     7.81     7.84     2.07    -1.96    -0.22    -0.33     0.14    -1.46   841.67   812.55
    10.00  1000.00     0.00     1.37    -0.29    -0.88     0.78     9.73     9.76     2.31    -2.21    -0.17    -0.28    -1.17    -0.14   915.01   885.74
    10.00 -1000.00     0.00    -1.97    -0.29    -0.70     0.78     9.79     9.76     2.11    -2.21    -0.39    -0.28     1.46    -0.14   856.60   885.74
    10.00     0.00  1000.00    -0.29     1.37    -0.78     0.88     9.76     9.73     2.21    -2.31    -0.28    -0.17     0.14     1.17   885.74   915.01
