
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.7                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Torque X at Wheel Center                           FSE08 front suspension                              

   WhTra  TorquX_L TorquX_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
     [mm]     [Nm]     [Nm]     [mm]     [mm]     [mm]     [mm]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]    [deg]    [deg]      [N]      [N]

     0.00   100.00     0.00     0.17     0.00    -0.02     0.00     0.13     0.00     1.55    -1.50     0.02     0.00    -0.03    -0.13   546.81   668.47
     0.00  -100.00     0.00    -0.17     0.00     0.02     0.00    -0.13     0.00     1.45    -1.50    -0.02     0.00     0.30    -0.13   790.10   668.47
     0.00     0.00   100.00     0.00    -0.17     0.00    -0.02     0.00    -0.13     1.50    -1.45     0.00    -0.02     0.13    -0.30   668.47   790.10
     0.00     0.00  -100.00     0.00     0.17     0.00     0.02     0.00     0.13     1.50    -1.55     0.00     0.02     0.13     0.03   668.47   546.81
     2.00   100.00     0.00     0.11    -0.06    -0.16     0.14     2.08     1.96     1.69    -1.64    -0.04    -0.06    -0.03    -0.13   588.68   711.19
     2.00  -100.00     0.00    -0.23    -0.06    -0.11     0.14     1.83     1.96     1.59    -1.64    -0.07    -0.06     0.30    -0.13   833.67   711.19
     2.00     0.00   100.00    -0.06    -0.23    -0.14     0.11     1.96     1.83     1.64    -1.59    -0.06    -0.07     0.13    -0.30   711.19   833.67
     2.00     0.00  -100.00    -0.06     0.11    -0.14     0.16     1.96     2.08     1.64    -1.69    -0.06    -0.04     0.13     0.03   711.19   588.68
     4.00   100.00     0.00     0.05    -0.12    -0.31     0.29     4.04     3.91     1.83    -1.78    -0.09    -0.11    -0.03    -0.14   630.97   754.33
     4.00  -100.00     0.00    -0.29    -0.12    -0.26     0.29     3.78     3.91     1.73    -1.78    -0.13    -0.11     0.30    -0.14   877.67   754.33
     4.00     0.00   100.00    -0.12    -0.29    -0.29     0.26     3.91     3.78     1.78    -1.73    -0.11    -0.13     0.14    -0.30   754.33   877.67
     4.00     0.00  -100.00    -0.12     0.05    -0.29     0.31     3.91     4.04     1.78    -1.83    -0.11    -0.09     0.14     0.03   754.33   630.97
     6.00   100.00     0.00     0.00    -0.17    -0.47     0.44     5.99     5.86     1.97    -1.92    -0.15    -0.17    -0.03    -0.14   673.63   797.84
