
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.7                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Force X at Wheel Center                            FSE06 rear suspension                               

   WhTra  ForceX_L ForceX_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
     [mm]      [N]      [N]     [mm]     [mm]     [mm]     [mm]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]    [deg]    [deg]      [N]      [N]

     0.00  1000.00     0.00     0.84     0.00     0.04     0.00    -0.39     0.00     1.31    -1.30    -0.01     0.00    -0.56     0.20   749.19   712.01
     0.00 -1000.00     0.00    -0.84     0.00    -0.04     0.00     0.39     0.00     1.29    -1.30     0.01     0.00     0.16     0.20   674.74   712.01
     0.00     0.00  1000.00     0.00     0.84     0.00    -0.04     0.00    -0.39     1.30    -1.31     0.00    -0.01    -0.20     0.56   712.01   749.19
     0.00     0.00 -1000.00     0.00    -0.84     0.00     0.04     0.00     0.39     1.30    -1.29     0.00     0.01    -0.20    -0.16   712.01   674.74
     2.00  1000.00     0.00     0.77    -0.07    -0.05     0.09     1.12     1.51     1.45    -1.44     0.06     0.07    -0.57     0.21   796.64   759.48
     2.00 -1000.00     0.00    -0.91    -0.07    -0.14     0.09     1.89     1.51     1.43    -1.44     0.08     0.07     0.15     0.21   722.23   759.48
     2.00     0.00  1000.00    -0.07     0.77    -0.09     0.05     1.51     1.12     1.44    -1.45     0.07     0.06    -0.21     0.57   759.48   796.64
     2.00     0.00 -1000.00    -0.07    -0.91    -0.09     0.14     1.51     1.89     1.44    -1.43     0.07     0.08    -0.21    -0.15   759.48   722.23
     4.00  1000.00     0.00     0.69    -0.15    -0.15     0.19     2.62     3.01     1.58    -1.58     0.13     0.14    -0.58     0.22   844.32   807.18
     4.00 -1000.00     0.00    -0.99    -0.15    -0.24     0.19     3.39     3.01     1.57    -1.58     0.15     0.14     0.14     0.22   769.93   807.18
     4.00     0.00  1000.00    -0.15     0.69    -0.19     0.15     3.01     2.62     1.58    -1.58     0.14     0.13    -0.22     0.58   807.18   844.32
     4.00     0.00 -1000.00    -0.15    -0.99    -0.19     0.24     3.01     3.39     1.58    -1.57     0.14     0.15    -0.22    -0.14   807.18   769.93
     6.00  1000.00     0.00     0.62    -0.22    -0.25     0.30     4.12     4.51     1.72    -1.72     0.20     0.21    -0.59     0.23   892.22   855.09
     6.00 -1000.00     0.00    -1.06    -0.22    -0.35     0.30     4.89     4.51     1.71    -1.72     0.22     0.21     0.13     0.23   817.85   855.09
     6.00     0.00  1000.00    -0.22     0.62    -0.30     0.25     4.51     4.12     1.72    -1.72     0.21     0.20    -0.23     0.59   855.09   892.22
     6.00     0.00 -1000.00    -0.22    -1.06    -0.30     0.35     4.51     4.89     1.72    -1.71     0.21     0.22    -0.23    -0.13   855.09   817.85
     8.00  1000.00     0.00     0.54    -0.30    -0.36     0.41     5.61     6.00     1.86    -1.86     0.27     0.28    -0.60     0.24   940.32   903.19
     8.00 -1000.00     0.00    -1.14    -0.30    -0.46     0.41     6.39     6.00     1.85    -1.86     0.29     0.28     0.12     0.24   865.95   903.19
     8.00     0.00  1000.00    -0.30     0.54    -0.41     0.36     6.00     5.61     1.86    -1.86     0.28     0.27    -0.24     0.60   903.19   940.32
     8.00     0.00 -1000.00    -0.30    -1.14    -0.41     0.46     6.00     6.39     1.86    -1.85     0.28     0.29    -0.24    -0.12   903.19   865.95
    10.00  1000.00     0.00     0.47    -0.37    -0.48     0.53     7.11     7.49     2.00    -2.00     0.34     0.35    -0.61     0.25   988.60   951.46
    10.00 -1000.00     0.00    -1.21    -0.37    -0.58     0.53     7.88     7.49     1.99    -2.00     0.36     0.35     0.11     0.25   914.22   951.46
    10.00     0.00  1000.00    -0.37     0.47    -0.53     0.48     7.49     7.11     2.00    -2.00     0.35     0.34    -0.25     0.61   951.46   988.60
