
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.7                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Force Y at Wheel Center                            FSE06 rear suspension                               

   WhTra  ForceY_L ForceY_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
     [mm]      [N]      [N]     [mm]     [mm]     [mm]     [mm]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]    [deg]    [deg]      [N]      [N]

     0.00  1000.00     0.00     0.04     0.00     0.08     0.00    -0.46     0.00     1.26    -1.30    -0.02     0.00    -0.20     0.20   756.36   712.01
     0.00 -1000.00     0.00    -0.04     0.00    -0.08     0.00     0.48     0.00     1.35    -1.30     0.02     0.00    -0.20     0.20   665.78   712.01
     0.00     0.00  1000.00     0.00    -0.04     0.00     0.08     0.00     0.48     1.30    -1.35     0.00     0.02    -0.20     0.20   712.01   665.78
     0.00     0.00 -1000.00     0.00     0.04     0.00    -0.08     0.00    -0.46     1.30    -1.26     0.00    -0.02    -0.20     0.20   712.01   756.36
     2.00  1000.00     0.00    -0.03    -0.07    -0.01     0.09     1.01     1.51     1.39    -1.44     0.05     0.07    -0.21     0.21   806.70   759.48
     2.00 -1000.00     0.00    -0.12    -0.07    -0.18     0.09     2.02     1.51     1.49    -1.44     0.09     0.07    -0.22     0.21   710.27   759.48
     2.00     0.00  1000.00    -0.07    -0.12    -0.09     0.18     1.51     2.02     1.44    -1.49     0.07     0.09    -0.21     0.22   759.48   710.27
     2.00     0.00 -1000.00    -0.07    -0.03    -0.09     0.01     1.51     1.01     1.44    -1.39     0.07     0.05    -0.21     0.21   759.48   806.70
     4.00  1000.00     0.00    -0.11    -0.15    -0.11     0.19     2.49     3.01     1.53    -1.58     0.12     0.14    -0.22     0.22   857.25   807.18
     4.00 -1000.00     0.00    -0.19    -0.15    -0.28     0.19     3.55     3.01     1.63    -1.58     0.17     0.14    -0.23     0.22   755.00   807.18
     4.00     0.00  1000.00    -0.15    -0.19    -0.19     0.28     3.01     3.55     1.58    -1.63     0.14     0.17    -0.22     0.23   807.18   755.00
     4.00     0.00 -1000.00    -0.15    -0.11    -0.19     0.11     3.01     2.49     1.58    -1.53     0.14     0.12    -0.22     0.22   807.18   857.25
     6.00  1000.00     0.00    -0.18    -0.22    -0.21     0.30     3.96     4.51     1.67    -1.72     0.19     0.21    -0.23     0.23   908.01   855.09
     6.00 -1000.00     0.00    -0.27    -0.22    -0.39     0.30     5.08     4.51     1.77    -1.72     0.24     0.21    -0.24     0.23   799.95   855.09
     6.00     0.00  1000.00    -0.22    -0.27    -0.30     0.39     4.51     5.08     1.72    -1.77     0.21     0.24    -0.23     0.24   855.09   799.95
     6.00     0.00 -1000.00    -0.22    -0.18    -0.30     0.21     4.51     3.96     1.72    -1.67     0.21     0.19    -0.23     0.23   855.09   908.01
     8.00  1000.00     0.00    -0.25    -0.30    -0.32     0.41     5.42     6.00     1.80    -1.86     0.26     0.28    -0.24     0.24   958.94   903.19
     8.00 -1000.00     0.00    -0.35    -0.30    -0.51     0.41     6.60     6.00     1.91    -1.86     0.31     0.28    -0.25     0.24   845.11   903.19
     8.00     0.00  1000.00    -0.30    -0.35    -0.41     0.51     6.00     6.60     1.86    -1.91     0.28     0.31    -0.24     0.25   903.19   845.11
     8.00     0.00 -1000.00    -0.30    -0.25    -0.41     0.32     6.00     5.42     1.86    -1.80     0.28     0.26    -0.24     0.24   903.19   958.94
    10.00  1000.00     0.00    -0.32    -0.37    -0.43     0.53     6.89     7.49     1.94    -2.00     0.32     0.35    -0.25     0.25  1010.05   951.46
    10.00 -1000.00     0.00    -0.42    -0.37    -0.63     0.53     8.13     7.49     2.06    -2.00     0.38     0.35    -0.26     0.25   890.44   951.46
    10.00     0.00  1000.00    -0.37    -0.42    -0.53     0.63     7.49     8.13     2.00    -2.06     0.35     0.38    -0.25     0.26   951.46   890.44
