
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.7                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Parallel Kinematics                                             FSE06 rear suspension                               

   WhlTra      Toe   Camber  TrackCh  LongTra    RCLat   RCVert   RCHeig   Anti-S   Anti-D KPOffset   KPIncl   Caster  CastAng
     [mm]    [min]    [deg]     [mm]     [mm]     [mm]     [mm]     [mm]      [%]      [%]     [mm]    [deg]     [mm]    [deg]

     0.00    12.00    -1.30     0.00     0.00     0.00   -42.78   157.22     5.11    73.23    25.02     4.81    38.32     9.85
     2.00    12.63    -1.44     0.79     0.07     0.00   -43.69   154.81     3.81    73.09    25.03     4.95    38.06     9.79
     4.00    13.26    -1.58     1.56     0.15     0.00   -44.59   152.40     2.51    72.94    25.04     5.09    37.80     9.72
     6.00    13.87    -1.72     2.32     0.22     0.00   -45.48   150.01     1.20    72.80    25.05     5.22    37.53     9.65
     8.00    14.46    -1.86     3.07     0.30     0.00   -46.37   147.62    -0.13    72.65    25.06     5.36    37.27     9.58
    10.00    15.05    -2.00     3.81     0.37     0.00   -47.26   145.23    -1.46    72.50    25.07     5.50    37.01     9.52
    12.00    15.62    -2.13     4.53     0.45     0.00   -48.14   142.84    -2.81    72.35    25.08     5.63    36.74     9.45
    14.00    16.18    -2.27     5.23     0.52     0.00   -49.03   140.46    -4.18    72.20    25.09     5.77    36.48     9.38
    16.00    16.73    -2.41     5.93     0.60     0.00   -49.90   138.09    -5.55    72.04    25.09     5.91    36.22     9.32
    18.00    17.27    -2.55     6.61     0.67     0.00   -50.78   135.71    -6.94    71.89    25.10     6.04    35.96     9.25
    20.00    17.79    -2.69     7.28     0.75     0.00   -51.65   133.34    -8.35    71.73    25.11     6.18    35.69     9.18
    22.00    18.30    -2.82     7.94     0.82     0.00   -52.53   130.97    -9.77    71.57    25.12     6.32    35.43     9.11
    24.00    18.80    -2.96     8.59     0.90     0.00   -53.40   128.60   -11.21    71.41    25.13     6.45    35.16     9.05
    26.00    19.28    -3.10     9.22     0.97     0.00   -54.27   126.23   -12.66    71.25    25.14     6.59    34.90     8.98
    28.00    19.76    -3.24     9.85     1.05     0.00   -55.13   123.86   -14.13    71.09    25.16     6.73    34.63     8.91
    30.00    20.22    -3.38    10.46     1.12     0.00   -56.00   121.48   -15.62    70.92    25.17     6.86    34.37     8.84
    32.00    20.66    -3.51    11.06     1.20     0.00   -56.87   119.11   -17.12    70.75    25.18     7.00    34.10     8.78
     0.00    12.00    -1.30     0.00     0.00     0.00   -42.78   157.22     5.11    73.23    25.02     4.81    38.32     9.85
    -2.00    11.35    -1.16    -0.80    -0.07     0.00   -41.88   159.63     6.39    73.38    25.02     4.68    38.59     9.92
    -4.00    10.69    -1.02    -1.62    -0.15     0.00   -40.97   162.05     7.66    73.52    25.01     4.54    38.85     9.99
    -6.00    10.02    -0.88    -2.45    -0.22     0.00   -40.05   164.48     8.92    73.66    25.00     4.40    39.12    10.05
    -8.00     9.34    -0.74    -3.29    -0.30     0.00   -39.13   166.91    10.17    73.80    24.99     4.26    39.38    10.12
   -10.00     8.64    -0.60    -4.15    -0.37     0.00   -38.21   169.35    11.41    73.94    24.99     4.12    39.65    10.19
   -12.00     7.93    -0.45    -5.03    -0.45     0.00   -37.28   171.80    12.63    74.07    24.98     3.98    39.91    10.26
   -14.00     7.21    -0.31    -5.92    -0.52     0.00   -36.35   174.26    13.86    74.21    24.97     3.84    40.18    10.33
   -16.00     6.48    -0.17    -6.82    -0.60     0.00   -35.41   176.72    15.07    74.34    24.96     3.70    40.44    10.39
   -18.00     5.73    -0.03    -7.74    -0.67     0.00   -34.46   179.19    16.27    74.48    24.96     3.56    40.71    10.46
   -20.00     4.98     0.12    -8.68    -0.75     0.00   -33.52   181.67    17.46    74.61    24.95     3.42    40.98    10.53
   -22.00     4.21     0.26    -9.63    -0.82     0.00   -32.56   184.16    18.64    74.74    24.94     3.28    41.24    10.60
   -24.00     3.42     0.40   -10.60    -0.90     0.00   -31.60   186.65    19.82    74.87    24.94     3.14    41.51    10.67
   -26.00     2.63     0.55   -11.58    -0.97     0.00   -30.64   189.15    20.98    75.00    24.93     3.00    41.78    10.73
   -28.00     1.82     0.69   -12.58    -1.05     0.00   -29.67   191.67    22.14    75.13    24.92     2.86    42.05    10.80
   -30.00     1.00     0.84   -13.59    -1.12     0.00   -28.69   194.19    23.29    75.26    24.92     2.72    42.32    10.87
   -32.00     0.31     0.96   -14.44    -1.18     0.00   -27.89   196.25    24.22    75.36    24.91     2.60    42.54    10.93
   -34.00     0.31     0.96   -14.44    -1.18     0.00   -27.89   196.25    24.22    75.36    24.91     2.60    42.54    10.93
   -36.00     0.31     0.96   -14.44    -1.18     0.00   -27.89   196.25    24.22    75.36    24.91     2.60    42.54    10.93
   -38.00     0.31     0.96   -14.44    -1.18     0.00   -27.89   196.25    24.22    75.36    24.91     2.60    42.54    10.93
   -40.00     0.31     0.96   -14.44    -1.18     0.00   -27.89   196.25    24.22    75.36    24.91     2.60    42.54    10.93
   -42.00     0.31     0.96   -14.44    -1.18     0.00   -27.89   196.25    24.22    75.36    24.91     2.60    42.54    10.93
