
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.7                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Torque Y at Wheel Center                           FSE06 front suspension                              

   WhTra  TorquY_L TorquY_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
     [mm]     [Nm]     [Nm]     [mm]     [mm]     [mm]     [mm]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]    [deg]    [deg]      [N]      [N]

     0.00   100.00     0.00    -0.11     0.00    -0.01     0.00    -0.20     0.00     1.51    -1.50     0.32     0.00     0.02    -0.13   690.75   668.47
     0.00  -100.00     0.00     0.11     0.00     0.01     0.00     0.20     0.00     1.49    -1.50    -0.32     0.00     0.24    -0.13   646.20   668.47
     0.00     0.00   100.00     0.00    -0.11     0.00     0.01     0.00    -0.20     1.50    -1.51     0.00     0.32     0.13    -0.02   668.47   690.75
     0.00     0.00  -100.00     0.00     0.11     0.00    -0.01     0.00     0.20     1.50    -1.49     0.00    -0.32     0.13    -0.24   668.47   646.20
     2.00   100.00     0.00    -0.13    -0.02    -0.10     0.09     1.48     1.68     1.56    -1.55     0.30    -0.03     0.02    -0.13   725.99   703.69
     2.00  -100.00     0.00     0.10    -0.02    -0.08     0.09     1.88     1.68     1.54    -1.55    -0.35    -0.03     0.24    -0.13   681.40   703.69
     2.00     0.00   100.00    -0.02    -0.13    -0.09     0.10     1.68     1.48     1.55    -1.56    -0.03     0.30     0.13    -0.02   703.69   725.99
     2.00     0.00  -100.00    -0.02     0.10    -0.09     0.08     1.68     1.88     1.55    -1.54    -0.03    -0.35     0.13    -0.24   703.69   681.40
     4.00   100.00     0.00    -0.15    -0.04    -0.19     0.19     3.16     3.36     1.61    -1.60     0.27    -0.05     0.02    -0.13   760.82   738.49
     4.00  -100.00     0.00     0.08    -0.04    -0.18     0.19     3.56     3.36     1.59    -1.60    -0.37    -0.05     0.25    -0.13   716.18   738.49
     4.00     0.00   100.00    -0.04    -0.15    -0.19     0.19     3.36     3.16     1.60    -1.61    -0.05     0.27     0.13    -0.02   738.49   760.82
     4.00     0.00  -100.00    -0.04     0.08    -0.19     0.18     3.36     3.56     1.60    -1.59    -0.05    -0.37     0.13    -0.25   738.49   716.18
     6.00   100.00     0.00    -0.17    -0.05    -0.30     0.29     4.85     5.05     1.66    -1.65     0.25    -0.08     0.02    -0.14   795.17   772.82
     6.00  -100.00     0.00     0.06    -0.05    -0.29     0.29     5.25     5.05     1.64    -1.65    -0.40    -0.08     0.25    -0.14   750.47   772.82
     6.00     0.00   100.00    -0.05    -0.17    -0.29     0.30     5.05     4.85     1.65    -1.66    -0.08     0.25     0.14    -0.02   772.82   795.17
     6.00     0.00  -100.00    -0.05     0.06    -0.29     0.29     5.05     5.25     1.65    -1.64    -0.08    -0.40     0.14    -0.25   772.82   750.47
     8.00   100.00     0.00    -0.18    -0.07    -0.41     0.40     6.54     6.74     1.71    -1.70     0.22    -0.10     0.02    -0.14   829.01   806.62
     8.00  -100.00     0.00     0.04    -0.07    -0.40     0.40     6.94     6.74     1.69    -1.70    -0.43    -0.10     0.25    -0.14   784.24   806.62
     8.00     0.00   100.00    -0.07    -0.18    -0.40     0.41     6.74     6.54     1.70    -1.71    -0.10     0.22     0.14    -0.02   806.62   829.01
     8.00     0.00  -100.00    -0.07     0.04    -0.40     0.40     6.74     6.94     1.70    -1.69    -0.10    -0.43     0.14    -0.25   806.62   784.24
    10.00   100.00     0.00    -0.20    -0.09    -0.52     0.52     8.24     8.44     1.76    -1.75     0.19    -0.13     0.02    -0.14   862.28   839.84
    10.00  -100.00     0.00     0.02    -0.09    -0.51     0.52     8.64     8.44     1.75    -1.75    -0.45    -0.13     0.25    -0.14   817.42   839.84
    10.00     0.00   100.00    -0.09    -0.20    -0.52     0.52     8.44     8.24     1.75    -1.76    -0.13     0.19     0.14    -0.02   839.84   862.28
    10.00     0.00  -100.00    -0.09     0.02    -0.52     0.51     8.44     8.64     1.75    -1.75    -0.13    -0.45     0.14    -0.25   839.84   817.42
    12.00   100.00     0.00    -0.22    -0.11    -0.65     0.64     9.94    10.14     1.81    -1.81     0.17    -0.15     0.02    -0.14   894.90   872.42
    12.00  -100.00     0.00     0.01    -0.11    -0.64     0.64    10.34    10.14     1.80    -1.81    -0.48    -0.15     0.25    -0.14   849.95   872.42
    12.00     0.00   100.00    -0.11    -0.22    -0.64     0.65    10.14     9.94     1.81    -1.81    -0.15     0.17     0.14    -0.02   872.42   894.90
    12.00     0.00  -100.00    -0.11     0.01    -0.64     0.64    10.14    10.34     1.81    -1.80    -0.15    -0.48     0.14    -0.25   872.42   849.95
    14.00   100.00     0.00    -0.23    -0.12    -0.78     0.77    11.65    11.85     1.87    -1.86     0.14    -0.18     0.02    -0.14   926.82   904.28
    14.00  -100.00     0.00    -0.01    -0.12    -0.77     0.77    12.05    11.85     1.85    -1.86    -0.50    -0.18     0.25    -0.14   881.76   904.28
    14.00     0.00   100.00    -0.12    -0.23    -0.77     0.78    11.85    11.65     1.86    -1.87    -0.18     0.14     0.14    -0.02   904.28   926.82
    14.00     0.00  -100.00    -0.12    -0.01    -0.77     0.77    11.85    12.05     1.86    -1.85    -0.18    -0.50     0.14    -0.25   904.28   881.76
    16.00   100.00     0.00    -0.25    -0.14    -0.91     0.91    13.36    13.57     1.93    -1.92     0.12    -0.21     0.02    -0.14   957.96   935.35
    16.00  -100.00     0.00    -0.03    -0.14    -0.91     0.91    13.77    13.57     1.91    -1.92    -0.53    -0.21     0.25    -0.14   912.76   935.35
    16.00     0.00   100.00    -0.14    -0.25    -0.91     0.91    13.57    13.36     1.92    -1.93    -0.21     0.12     0.14    -0.02   935.35   957.96
    16.00     0.00  -100.00    -0.14    -0.03    -0.91     0.91    13.57    13.77     1.92    -1.91    -0.21    -0.53     0.14    -0.25   935.35   912.76
    18.00   100.00     0.00    -0.27    -0.16    -1.06     1.06    15.09    15.29     1.98    -1.98     0.09    -0.23     0.02    -0.14   988.22   965.54
    18.00  -100.00     0.00    -0.05    -0.16    -1.06     1.06    15.50    15.29     1.97    -1.98    -0.56    -0.23     0.26    -0.14   942.87   965.54
    18.00     0.00   100.00    -0.16    -0.27    -1.06     1.06    15.29    15.09     1.98    -1.98    -0.23     0.09     0.14    -0.02   965.54   988.22
    18.00     0.00  -100.00    -0.16    -0.05    -1.06     1.06    15.29    15.50     1.98    -1.97    -0.23    -0.56     0.14    -0.26   965.54   942.87
    20.00   100.00     0.00    -0.28    -0.18    -1.21     1.21    16.82    17.03     2.04    -2.03     0.07    -0.26     0.02    -0.14  1017.50   994.73
    20.00  -100.00     0.00    -0.07    -0.18    -1.21     1.21    17.23    17.03     2.02    -2.03    -0.58    -0.26     0.26    -0.14   971.99   994.73
    20.00     0.00   100.00    -0.18    -0.28    -1.21     1.21    17.03    16.82     2.03    -2.04    -0.26     0.07     0.14    -0.02   994.73  1017.50
    20.00     0.00  -100.00    -0.18    -0.07    -1.21     1.21    17.03    17.23     2.03    -2.02    -0.26    -0.58     0.14    -0.26   994.73   971.99
    22.00   100.00     0.00    -0.30    -0.19    -1.37     1.37    18.56    18.77     2.10    -2.09     0.04    -0.29     0.01    -0.14  1045.69  1022.82
