
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.7                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Parallel Kinematics                                             FSE06 front suspension                              

   WhlTra      Toe   Camber  TrackCh  LongTra    RCLat   RCVert   RCHeig   Anti-S   Anti-D KPOffset   KPIncl   Caster  CastAng
     [mm]    [min]    [deg]     [mm]     [mm]     [mm]     [mm]     [mm]      [%]      [%]     [mm]    [deg]     [mm]    [deg]

     0.00    -8.00    -1.50     0.00     0.00     0.00  -172.38    27.62    -2.12    17.33    26.96     4.40    14.66     4.71
     2.00    -8.04    -1.55     0.16     0.02     0.00  -171.98    26.34    -2.20    17.23    26.96     4.45    14.75     4.74
     4.00    -8.07    -1.60     0.31     0.04     0.00  -171.57    25.06    -2.27    17.13    26.96     4.50    14.84     4.76
     6.00    -8.10    -1.65     0.46     0.05     0.00  -171.17    23.78    -2.35    17.02    26.96     4.55    14.93     4.79
     8.00    -8.13    -1.70     0.60     0.07     0.00  -170.76    22.49    -2.42    16.91    26.96     4.60    15.01     4.82
    10.00    -8.15    -1.75     0.73     0.09     0.00  -170.35    21.21    -2.50    16.80    26.97     4.65    15.10     4.84
    12.00    -8.16    -1.81     0.86     0.11     0.00  -169.94    19.92    -2.58    16.69    26.97     4.71    15.19     4.87
    14.00    -8.17    -1.86     0.98     0.12     0.00  -169.52    18.62    -2.66    16.58    26.97     4.76    15.28     4.89
    16.00    -8.18    -1.92     1.10     0.14     0.00  -169.10    17.33    -2.74    16.46    26.97     4.82    15.37     4.92
    18.00    -8.19    -1.98     1.20     0.16     0.00  -168.67    16.03    -2.83    16.35    26.97     4.88    15.46     4.95
    20.00    -8.19    -2.03     1.30     0.18     0.00  -168.24    14.72    -2.91    16.23    26.97     4.93    15.55     4.97
    22.00    -8.20    -2.09     1.40     0.19     0.00  -167.81    13.41    -3.00    16.11    26.98     4.99    15.63     5.00
    24.00    -8.20    -2.15     1.48     0.21     0.00  -167.37    12.09    -3.09    15.98    26.98     5.06    15.72     5.03
    26.00    -8.21    -2.22     1.56     0.23     0.00  -166.92    10.77    -3.18    15.86    26.98     5.12    15.81     5.05
    28.00    -8.21    -2.28     1.63     0.25     0.00  -166.47     9.44    -3.27    15.73    26.98     5.18    15.91     5.08
    30.00    -8.22    -2.34     1.70     0.27     0.00  -166.01     8.09    -3.36    15.60    26.99     5.25    16.00     5.11
    32.00    -8.23    -2.41     1.75     0.28     0.00  -165.55     6.74    -3.46    15.46    26.99     5.31    16.09     5.14
    34.00    -8.25    -2.48     1.80     0.30     0.00  -165.07     5.37    -3.56    15.32    26.99     5.38    16.18     5.16
    36.00    -8.28    -2.55     1.84     0.32     0.00  -164.59     3.98    -3.66    15.18    26.99     5.45    16.28     5.19
    38.00    -8.33    -2.62     1.87     0.34     0.00  -164.10     2.57    -3.76    15.03    27.00     5.52    16.37     5.22
     0.00    -8.00    -1.50     0.00     0.00     0.00  -172.38    27.62    -2.12    17.33    26.96     4.40    14.66     4.71
    -2.00    -7.96    -1.45    -0.17    -0.02     0.00  -172.77    28.90    -2.05    17.44    26.96     4.35    14.57     4.69
    -4.00    -7.90    -1.41    -0.34    -0.04     0.00  -173.17    30.18    -1.98    17.54    26.95     4.30    14.49     4.66
    -6.00    -7.85    -1.36    -0.52    -0.05     0.00  -173.56    31.46    -1.91    17.63    26.95     4.26    14.40     4.63
    -8.00    -7.78    -1.31    -0.70    -0.07     0.00  -173.95    32.74    -1.84    17.73    26.95     4.21    14.31     4.61
   -10.00    -7.72    -1.27    -0.89    -0.09     0.00  -174.34    34.02    -1.77    17.83    26.95     4.17    14.22     4.58
   -12.00    -7.64    -1.23    -1.09    -0.11     0.00  -174.72    35.29    -1.70    17.92    26.95     4.12    14.14     4.56
   -14.00    -7.56    -1.18    -1.29    -0.13     0.00  -175.11    36.57    -1.64    18.02    26.95     4.08    14.05     4.53
   -16.00    -7.47    -1.14    -1.50    -0.15     0.00  -175.49    37.85    -1.57    18.11    26.95     4.04    13.96     4.51
   -18.00    -7.37    -1.10    -1.72    -0.16     0.00  -175.87    39.13    -1.51    18.20    26.95     4.00    13.87     4.48
   -20.00    -7.27    -1.06    -1.94    -0.18     0.00  -176.25    40.40    -1.44    18.29    26.95     3.96    13.79     4.46
   -22.00    -7.15    -1.02    -2.17    -0.20     0.00  -176.62    41.68    -1.38    18.38    26.94     3.92    13.70     4.43
   -24.00    -7.04    -0.99    -2.41    -0.22     0.00  -177.00    42.96    -1.31    18.47    26.94     3.88    13.61     4.40
   -26.00    -6.91    -0.95    -2.65    -0.24     0.00  -177.37    44.25    -1.25    18.56    26.94     3.85    13.52     4.38
   -28.00    -6.78    -0.91    -2.90    -0.26     0.00  -177.75    45.53    -1.19    18.65    26.94     3.81    13.43     4.35
   -30.00    -6.63    -0.88    -3.15    -0.28     0.00  -178.12    46.81    -1.13    18.73    26.94     3.77    13.35     4.33
   -32.00    -6.48    -0.84    -3.41    -0.30     0.00  -178.49    48.09    -1.07    18.82    26.94     3.74    13.26     4.30
   -34.00    -6.33    -0.81    -3.68    -0.32     0.00  -178.86    49.38    -1.01    18.90    26.94     3.70    13.17     4.28
   -36.00    -6.17    -0.78    -3.93    -0.34     0.00  -179.20    50.57    -0.96    18.98    26.94     3.67    13.09     4.25
