
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.7                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Reciprocal Kinematics                                           FSE06 rear suspension                               

  WhlTraL  WhlTraR    RCLat   RCVert   RCHeig     ToeL     ToeR  CamberL  CamberR  TotRoll  TransZL  TransZR WhlLoadL WhlLoadR
     [mm]     [mm]     [mm]     [mm]     [mm]    [min]    [min]    [deg]    [deg]    [deg]     [mm]     [mm]      [N]      [N]

     0.00     0.00     0.00  -173.21    26.79    12.00    12.00    -1.30    -1.30     0.00     0.00     0.00   712.01   712.01
     0.00     2.00    13.11  -173.78    25.43    12.00    11.88    -1.30    -1.37    -0.07     0.00     1.58   712.01   758.50
     0.00     4.00    27.70  -174.41    24.01    12.00    11.74    -1.30    -1.43    -0.15     0.00     3.16   712.01   804.54
     0.00     6.00    44.04  -175.12    22.50    12.00    11.57    -1.30    -1.50    -0.22     0.00     4.74   712.01   850.07
     0.00     8.00    62.48  -175.93    20.90    12.00    11.37    -1.30    -1.56    -0.30     0.00     6.33   712.01   894.97
     0.00    10.00    83.45  -176.84    19.19    12.00    11.15    -1.30    -1.63    -0.37     0.00     7.93   712.01   939.12
     0.00    12.00   107.56  -177.89    17.34    12.00    10.91    -1.30    -1.70    -0.45     0.00     9.54   712.01   982.40
     0.00    14.00   135.59  -179.11    15.31    12.00    10.64    -1.30    -1.77    -0.52     0.00    11.15   712.01  1024.64
     0.00    16.00   168.62  -180.55    13.05    12.00    10.34    -1.30    -1.83    -0.60     0.00    12.78   712.01  1065.63
     0.00    18.00   208.18  -182.28    10.51    12.00    10.01    -1.30    -1.90    -0.68     0.00    14.42   712.01  1105.12
     0.00    20.00   256.52  -184.38     7.57    12.00     9.66    -1.30    -1.97    -0.75     0.00    16.07   712.01  1142.80
     0.00    22.00   317.08  -187.02     4.09    12.00     9.27    -1.30    -2.04    -0.83     0.00    17.74   712.01  1178.24
     0.00    24.00   395.39  -190.43    -0.17    12.00     8.86    -1.30    -2.12    -0.91     0.00    19.44   712.01  1210.91
     0.00    26.00   501.11  -195.04    -5.65    12.00     8.41    -1.30    -2.19    -0.99     0.00    21.18   712.01  1240.01
     0.00    28.00   652.66  -201.64   -13.14    12.00     7.93    -1.30    -2.26    -1.08     0.00    22.95   712.01  1264.39
     0.00     0.00     0.00  -173.21    26.79    12.00    12.00    -1.30    -1.30     0.00     0.00     0.00   712.01   712.01
     0.00    -2.00   -11.86  -172.69    28.10    12.00    12.10    -1.30    -1.23     0.07     0.00    -1.57   712.01   665.16
     0.00    -4.00   -22.64  -172.22    29.35    12.00    12.17    -1.30    -1.17     0.15     0.00    -3.15   712.01   618.02
     0.00    -6.00   -32.48  -171.79    30.57    12.00    12.22    -1.30    -1.10     0.22     0.00    -4.72   712.01   570.63
     0.00    -8.00   -41.51  -171.40    31.74    12.00    12.24    -1.30    -1.04     0.30     0.00    -6.28   712.01   523.06
     0.00   -10.00   -49.82  -171.03    32.89    12.00    12.25    -1.30    -0.97     0.37     0.00    -7.85   712.01   475.34
     0.00   -12.00   -57.50  -170.70    34.01    12.00    12.23    -1.30    -0.91     0.44     0.00    -9.42   712.01   427.52
     0.00   -14.00   -64.63  -170.39    35.10    12.00    12.19    -1.30    -0.84     0.52     0.00   -10.98   712.01   379.63
     0.00   -16.00   -71.25  -170.10    36.17    12.00    12.12    -1.30    -0.78     0.59     0.00   -12.55   712.01   331.71
     0.00   -18.00   -77.43  -169.83    37.22    12.00    12.03    -1.30    -0.72     0.66     0.00   -14.12   712.01   283.80
     0.00   -20.00   -83.21  -169.58    38.25    12.00    11.92    -1.30    -0.65     0.74     0.00   -15.68   712.01   235.91
     0.00   -22.00   -88.62  -169.34    39.27    12.00    11.79    -1.30    -0.59     0.81     0.00   -17.25   712.01   188.07
     0.00   -24.00   -93.70  -169.12    40.27    12.00    11.64    -1.30    -0.52     0.88     0.00   -18.82   712.01   140.31
     0.00   -26.00   -98.49  -168.91    41.26    12.00    11.46    -1.30    -0.46     0.96     0.00   -20.39   712.01    92.64
     0.00   -28.00  -103.00  -168.72    42.24    12.00    11.26    -1.30    -0.39     1.03     0.00   -21.96   712.01    45.10
     0.00   -30.00  -107.06  -168.54    43.16    12.00    11.06    -1.30    -0.33     1.10     0.00   -23.46   712.01     0.00
     2.00     0.00   -13.11  -173.78    25.43    11.88    12.00    -1.37    -1.30     0.07     1.58     0.00   758.50   712.01
     2.00     2.00     0.00  -174.29    24.13    11.88    11.88    -1.37    -1.37     0.00     1.58     1.58   758.50   758.50
     2.00     4.00    14.67  -174.87    22.76    11.88    11.74    -1.37    -1.43    -0.07     1.58     3.16   758.50   804.54
     2.00     6.00    31.21  -175.52    21.32    11.88    11.57    -1.37    -1.50    -0.15     1.58     4.74   758.50   850.07
     2.00     8.00    50.01  -176.25    19.79    11.88    11.37    -1.37    -1.56    -0.22     1.58     6.33   758.50   894.97
     2.00    10.00    71.59  -177.10    18.14    11.88    11.15    -1.37    -1.63    -0.30     1.58     7.93   758.50   939.12
     2.00    12.00    96.62  -178.08    16.36    11.88    10.91    -1.37    -1.70    -0.37     1.58     9.54   758.50   982.40
     2.00    14.00   126.05  -179.24    14.39    11.88    10.64    -1.37    -1.77    -0.45     1.58    11.15   758.50  1024.64
     2.00    16.00   161.19  -180.61    12.20    11.88    10.34    -1.37    -1.83    -0.53     1.58    12.78   758.50  1065.63
     2.00    18.00   203.94  -182.29     9.70    11.88    10.01    -1.37    -1.90    -0.60     1.58    14.42   758.50  1105.12
     2.00    20.00   257.20  -184.38     6.78    11.88     9.66    -1.37    -1.97    -0.68     1.58    16.07   758.50  1142.80
     2.00    22.00   325.54  -187.06     3.26    11.88     9.27    -1.37    -2.04    -0.76     1.58    17.74   758.50  1178.24
     2.00    24.00   416.74  -190.64    -1.17    11.88     8.86    -1.37    -2.12    -0.84     1.58    19.44   758.50  1210.91
     2.00    26.00   545.14  -195.68    -7.08    11.88     8.41    -1.37    -2.19    -0.92     1.58    21.18   758.50  1240.01
     2.00    28.00   740.71  -203.35   -15.64    11.88     7.93    -1.37    -2.26    -1.00     1.58    22.95   758.50  1264.39
     2.00     0.00   -13.11  -173.78    25.43    11.88    12.00    -1.37    -1.30     0.07     1.58     0.00   758.50   712.01
     2.00    -2.00   -24.91  -173.31    26.68    11.88    12.10    -1.37    -1.23     0.15     1.58    -1.57   758.50   665.16
     2.00    -4.00   -35.58  -172.90    27.89    11.88    12.17    -1.37    -1.17     0.22     1.58    -3.15   758.50   618.02
     2.00    -6.00   -45.29  -172.51    29.05    11.88    12.22    -1.37    -1.10     0.30     1.58    -4.72   758.50   570.63
     2.00    -8.00   -54.15  -172.17    30.19    11.88    12.24    -1.37    -1.04     0.37     1.58    -6.28   758.50   523.06
     2.00   -10.00   -62.29  -171.85    31.29    11.88    12.25    -1.37    -0.97     0.44     1.58    -7.85   758.50   475.34
     2.00   -12.00   -69.78  -171.55    32.36    11.88    12.23    -1.37    -0.91     0.52     1.58    -9.42   758.50   427.52
     2.00   -14.00   -76.71  -171.28    33.42    11.88    12.19    -1.37    -0.84     0.59     1.58   -10.98   758.50   379.63
     2.00   -16.00   -83.13  -171.03    34.45    11.88    12.12    -1.37    -0.78     0.66     1.58   -12.55   758.50   331.71
     2.00   -18.00   -89.11  -170.80    35.47    11.88    12.03    -1.37    -0.72     0.74     1.58   -14.12   758.50   283.80
