
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.7                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Force Z at Wheel Center                            FSE06 front suspension                              

   WhTra  ForceZ_L ForceZ_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
     [mm]      [N]      [N]     [mm]     [mm]     [mm]     [mm]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]    [deg]    [deg]      [N]      [N]

     0.00  1000.00     0.00    -0.18     0.00    -1.23     0.00    17.27     0.00     2.04    -1.50    -0.26     0.00     0.14    -0.13     0.00   668.47
     0.00 -1000.00     0.00     0.08     0.00     0.33     0.00    -7.60     0.00     1.29    -1.50     0.12     0.00     0.13    -0.13  1504.44   668.47
     0.00     0.00  1000.00     0.00    -0.18     0.00     1.23     0.00    17.27     1.50    -2.04     0.00    -0.26     0.13    -0.14   668.47     0.00
     0.00     0.00 -1000.00     0.00     0.08     0.00    -0.33     0.00    -7.60     1.50    -1.29     0.00     0.12     0.13    -0.13   668.47  1504.44
     2.00  1000.00     0.00    -0.18    -0.02    -1.23     0.09    17.27     1.68     2.04    -1.55    -0.26    -0.03     0.14    -0.13     0.00   703.69
     2.00 -1000.00     0.00     0.06    -0.02     0.27     0.09    -5.93     1.68     1.33    -1.55     0.09    -0.03     0.13    -0.13  1541.05   703.69
     2.00     0.00  1000.00    -0.02    -0.18    -0.09     1.23     1.68    17.27     1.55    -2.04    -0.03    -0.26     0.13    -0.14   703.69     0.00
     2.00     0.00 -1000.00    -0.02     0.06    -0.09    -0.27     1.68    -5.93     1.55    -1.33    -0.03     0.09     0.13    -0.13   703.69  1541.05
     4.00  1000.00     0.00    -0.18    -0.04    -1.23     0.19    17.27     3.36     2.04    -1.60    -0.26    -0.05     0.14    -0.13     0.00   738.49
     4.00 -1000.00     0.00     0.04    -0.04     0.20     0.19    -4.26     3.36     1.38    -1.60     0.07    -0.05     0.13    -0.13  1577.38   738.49
     4.00     0.00  1000.00    -0.04    -0.18    -0.19     1.23     3.36    17.27     1.60    -2.04    -0.05    -0.26     0.13    -0.14   738.49     0.00
     4.00     0.00 -1000.00    -0.04     0.04    -0.19    -0.20     3.36    -4.26     1.60    -1.38    -0.05     0.07     0.13    -0.13   738.49  1577.38
     6.00  1000.00     0.00    -0.18    -0.05    -1.23     0.29    17.27     5.05     2.04    -1.65    -0.26    -0.08     0.14    -0.14     0.00   772.82
     6.00 -1000.00     0.00     0.03    -0.05     0.13     0.29    -2.59     5.05     1.43    -1.65     0.04    -0.08     0.13    -0.14  1613.43   772.82
     6.00     0.00  1000.00    -0.05    -0.18    -0.29     1.23     5.05    17.27     1.65    -2.04    -0.08    -0.26     0.14    -0.14   772.82     0.00
     6.00     0.00 -1000.00    -0.05     0.03    -0.29    -0.13     5.05    -2.59     1.65    -1.43    -0.08     0.04     0.14    -0.13   772.82  1613.43
     8.00  1000.00     0.00    -0.18    -0.07    -1.23     0.40    17.27     6.74     2.04    -1.70    -0.26    -0.10     0.14    -0.14     0.00   806.62
     8.00 -1000.00     0.00     0.01    -0.07     0.05     0.40    -0.92     6.74     1.47    -1.70     0.01    -0.10     0.13    -0.14  1649.14   806.62
     8.00     0.00  1000.00    -0.07    -0.18    -0.40     1.23     6.74    17.27     1.70    -2.04    -0.10    -0.26     0.14    -0.14   806.62     0.00
     8.00     0.00 -1000.00    -0.07     0.01    -0.40    -0.05     6.74    -0.92     1.70    -1.47    -0.10     0.01     0.14    -0.13   806.62  1649.14
    10.00  1000.00     0.00    -0.18    -0.09    -1.23     0.52    17.27     8.44     2.04    -1.75    -0.26    -0.13     0.14    -0.14     0.00   839.84
    10.00 -1000.00     0.00    -0.01    -0.09    -0.04     0.52     0.76     8.44     1.52    -1.75    -0.01    -0.13     0.13    -0.14  1684.49   839.84
