
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.7                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Torque X at Wheel Center                           FSE06 front suspension                              

   WhTra  TorquX_L TorquX_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
     [mm]     [Nm]     [Nm]     [mm]     [mm]     [mm]     [mm]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]    [deg]    [deg]      [N]      [N]

     0.00   100.00     0.00     0.18     0.00    -0.01     0.00     0.38     0.00     1.57    -1.50     0.01     0.00    -0.08    -0.13   626.12   668.47
     0.00  -100.00     0.00    -0.18     0.00     0.01     0.00    -0.38     0.00     1.43    -1.50    -0.01     0.00     0.35    -0.13   710.51   668.47
     0.00     0.00   100.00     0.00    -0.18     0.00    -0.01     0.00    -0.38     1.50    -1.43     0.00    -0.01     0.13    -0.35   668.47   710.51
     0.00     0.00  -100.00     0.00     0.18     0.00     0.01     0.00     0.38     1.50    -1.57     0.00     0.01     0.13     0.08   668.47   626.12
     2.00   100.00     0.00     0.16    -0.02    -0.10     0.09     2.07     1.68     1.61    -1.55    -0.02    -0.03    -0.08    -0.13   660.50   703.69
     2.00  -100.00     0.00    -0.20    -0.02    -0.08     0.09     1.29     1.68     1.48    -1.55    -0.03    -0.03     0.35    -0.13   746.58   703.69
     2.00     0.00   100.00    -0.02    -0.20    -0.09     0.08     1.68     1.29     1.55    -1.48    -0.03    -0.03     0.13    -0.35   703.69   746.58
     2.00     0.00  -100.00    -0.02     0.16    -0.09     0.10     1.68     2.07     1.55    -1.61    -0.03    -0.02     0.13     0.08   703.69   660.50
     4.00   100.00     0.00     0.15    -0.04    -0.20     0.19     3.76     3.36     1.67    -1.60    -0.04    -0.05    -0.08    -0.13   694.43   738.49
     4.00  -100.00     0.00    -0.22    -0.04    -0.17     0.19     2.97     3.36     1.53    -1.60    -0.06    -0.05     0.35    -0.13   782.23   738.49
     4.00     0.00   100.00    -0.04    -0.22    -0.19     0.17     3.36     2.97     1.60    -1.53    -0.05    -0.06     0.13    -0.35   738.49   782.23
     4.00     0.00  -100.00    -0.04     0.15    -0.19     0.20     3.36     3.76     1.60    -1.67    -0.05    -0.04     0.13     0.08   738.49   694.43
     6.00   100.00     0.00     0.13    -0.05    -0.31     0.29     5.46     5.05     1.72    -1.65    -0.07    -0.08    -0.08    -0.14   727.88   772.82
     6.00  -100.00     0.00    -0.24    -0.05    -0.28     0.29     4.65     5.05     1.58    -1.65    -0.08    -0.08     0.35    -0.14   817.42   772.82
     6.00     0.00   100.00    -0.05    -0.24    -0.29     0.28     5.05     4.65     1.65    -1.58    -0.08    -0.08     0.14    -0.35   772.82   817.42
     6.00     0.00  -100.00    -0.05     0.13    -0.29     0.31     5.05     5.46     1.65    -1.72    -0.08    -0.07     0.14     0.08   772.82   727.88
     8.00   100.00     0.00     0.11    -0.07    -0.42     0.40     7.16     6.74     1.77    -1.70    -0.10    -0.10    -0.08    -0.14   760.80   806.62
     8.00  -100.00     0.00    -0.25    -0.07    -0.38     0.40     6.33     6.74     1.63    -1.70    -0.11    -0.10     0.35    -0.14   852.10   806.62
     8.00     0.00   100.00    -0.07    -0.25    -0.40     0.38     6.74     6.33     1.70    -1.63    -0.10    -0.11     0.14    -0.35   806.62   852.10
     8.00     0.00  -100.00    -0.07     0.11    -0.40     0.42     6.74     7.16     1.70    -1.77    -0.10    -0.10     0.14     0.08   806.62   760.80
