
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.7                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Torque Z at Wheel Center                           FSE06 front suspension                              

   WhTra  TorquZ_L TorquZ_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
     [mm]     [Nm]     [Nm]     [mm]     [mm]     [mm]     [mm]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]    [deg]    [deg]      [N]      [N]

     0.00   100.00     0.00    -1.63     0.00    -0.08     0.00     0.00     0.00     1.28    -1.50    -0.10     0.00     2.21    -0.13   668.52   668.47
     0.00  -100.00     0.00     1.60     0.00     0.02     0.00     0.00     0.00     1.71    -1.50     0.10     0.00    -1.91    -0.13   668.58   668.47
     0.00     0.00   100.00     0.00     1.60     0.00    -0.02     0.00     0.00     1.50    -1.71     0.00     0.10     0.13     1.91   668.47   668.58
     0.00     0.00  -100.00     0.00    -1.63     0.00     0.08     0.00     0.00     1.50    -1.28     0.00    -0.10     0.13    -2.21   668.47   668.52
     2.00   100.00     0.00    -1.65    -0.02    -0.17     0.09     1.68     1.68     1.33    -1.55    -0.12    -0.03     2.21    -0.13   703.83   703.69
     2.00  -100.00     0.00     1.59    -0.02    -0.07     0.09     1.68     1.68     1.76    -1.55     0.08    -0.03    -1.91    -0.13   703.70   703.69
     2.00     0.00   100.00    -0.02     1.59    -0.09     0.07     1.68     1.68     1.55    -1.76    -0.03     0.08     0.13     1.91   703.69   703.70
     2.00     0.00  -100.00    -0.02    -1.65    -0.09     0.17     1.68     1.68     1.55    -1.33    -0.03    -0.12     0.13    -2.21   703.69   703.83
     4.00   100.00     0.00    -1.67    -0.04    -0.27     0.19     3.36     3.36     1.38    -1.60    -0.15    -0.05     2.21    -0.13   738.71   738.49
     4.00  -100.00     0.00     1.57    -0.04    -0.17     0.19     3.36     3.36     1.81    -1.60     0.05    -0.05    -1.91    -0.13   738.39   738.49
     4.00     0.00   100.00    -0.04     1.57    -0.19     0.17     3.36     3.36     1.60    -1.81    -0.05     0.05     0.13     1.91   738.49   738.39
     4.00     0.00  -100.00    -0.04    -1.67    -0.19     0.27     3.36     3.36     1.60    -1.38    -0.05    -0.15     0.13    -2.21   738.49   738.71
     6.00   100.00     0.00    -1.68    -0.05    -0.37     0.29     5.05     5.05     1.43    -1.65    -0.18    -0.08     2.21    -0.14   773.11   772.82
     6.00  -100.00     0.00     1.55    -0.05    -0.27     0.29     5.05     5.05     1.86    -1.65     0.03    -0.08    -1.91    -0.14   772.61   772.82
     6.00     0.00   100.00    -0.05     1.55    -0.29     0.27     5.05     5.05     1.65    -1.86    -0.08     0.03     0.14     1.91   772.82   772.61
     6.00     0.00  -100.00    -0.05    -1.68    -0.29     0.37     5.05     5.05     1.65    -1.43    -0.08    -0.18     0.14    -2.21   772.82   773.11
     8.00   100.00     0.00    -1.70    -0.07    -0.48     0.40     6.74     6.74     1.48    -1.70    -0.20    -0.10     2.21    -0.14   806.99   806.62
     8.00  -100.00     0.00     1.53    -0.07    -0.38     0.40     6.74     6.74     1.92    -1.70     0.00    -0.10    -1.91    -0.14   806.32   806.62
     8.00     0.00   100.00    -0.07     1.53    -0.40     0.38     6.74     6.74     1.70    -1.92    -0.10     0.00     0.14     1.91   806.62   806.32
     8.00     0.00  -100.00    -0.07    -1.70    -0.40     0.48     6.74     6.74     1.70    -1.48    -0.10    -0.20     0.14    -2.21   806.62   806.99
    10.00   100.00     0.00    -1.72    -0.09    -0.60     0.52     8.44     8.44     1.53    -1.75    -0.23    -0.13     2.21    -0.14   840.27   839.84
    10.00  -100.00     0.00     1.52    -0.09    -0.49     0.52     8.44     8.44     1.97    -1.75    -0.02    -0.13    -1.91    -0.14   839.45   839.84
    10.00     0.00   100.00    -0.09     1.52    -0.52     0.49     8.44     8.44     1.75    -1.97    -0.13    -0.02     0.14     1.91   839.84   839.45
    10.00     0.00  -100.00    -0.09    -1.72    -0.52     0.60     8.44     8.44     1.75    -1.53    -0.13    -0.23     0.14    -2.21   839.84   840.27
    12.00   100.00     0.00    -1.74    -0.11    -0.72     0.64    10.14    10.14     1.59    -1.81    -0.26    -0.15     2.21    -0.14   872.91   872.42
    12.00  -100.00     0.00     1.50    -0.11    -0.62     0.64    10.15    10.14     2.02    -1.81    -0.05    -0.15    -1.91    -0.14   871.94   872.42
    12.00     0.00   100.00    -0.11     1.50    -0.64     0.62    10.14    10.15     1.81    -2.02    -0.15    -0.05     0.14     1.91   872.42   871.94
    12.00     0.00  -100.00    -0.11    -1.74    -0.64     0.72    10.14    10.14     1.81    -1.59    -0.15    -0.26     0.14    -2.21   872.42   872.91
    14.00   100.00     0.00    -1.76    -0.12    -0.86     0.77    11.85    11.85     1.64    -1.86    -0.28    -0.18     2.21    -0.14   904.83   904.28
    14.00  -100.00     0.00     1.48    -0.12    -0.75     0.77    11.86    11.85     2.08    -1.86    -0.07    -0.18    -1.91    -0.14   903.72   904.28
    14.00     0.00   100.00    -0.12     1.48    -0.77     0.75    11.85    11.86     1.86    -2.08    -0.18    -0.07     0.14     1.91   904.28   903.72
    14.00     0.00  -100.00    -0.12    -1.76    -0.77     0.86    11.85    11.85     1.86    -1.64    -0.18    -0.28     0.14    -2.21   904.28   904.83
    16.00   100.00     0.00    -1.77    -0.14    -0.99     0.91    13.57    13.57     1.70    -1.92    -0.31    -0.21     2.21    -0.14   935.95   935.35
    16.00  -100.00     0.00     1.47    -0.14    -0.89     0.91    13.57    13.57     2.14    -1.92    -0.10    -0.21    -1.91    -0.14   934.71   935.35
    16.00     0.00   100.00    -0.14     1.47    -0.91     0.89    13.57    13.57     1.92    -2.14    -0.21    -0.10     0.14     1.91   935.35   934.71
    16.00     0.00  -100.00    -0.14    -1.77    -0.91     0.99    13.57    13.57     1.92    -1.70    -0.21    -0.31     0.14    -2.21   935.35   935.95
    18.00   100.00     0.00    -1.79    -0.16    -1.14     1.06    15.29    15.29     1.75    -1.98    -0.34    -0.23     2.21    -0.14   966.18   965.54
    18.00  -100.00     0.00     1.45    -0.16    -1.03     1.06    15.30    15.29     2.19    -1.98    -0.12    -0.23    -1.91    -0.14   964.83   965.54
    18.00     0.00   100.00    -0.16     1.45    -1.06     1.03    15.29    15.30     1.98    -2.19    -0.23    -0.12     0.14     1.91   965.54   964.83
