
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.7                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Force X at Wheel Center                            FSE06 front suspension                              

   WhTra  ForceX_L ForceX_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
     [mm]      [N]      [N]     [mm]     [mm]     [mm]     [mm]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]    [deg]    [deg]      [N]      [N]

     0.00  1000.00     0.00     1.21     0.00     0.03     0.00    -0.08     0.00     1.61    -1.50    -0.07     0.00    -0.79    -0.13   677.24   668.47
     0.00 -1000.00     0.00    -1.21     0.00    -0.04     0.00     0.08     0.00     1.40    -1.50     0.07     0.00     1.06    -0.13   659.51   668.47
     0.00     0.00  1000.00     0.00     1.21     0.00    -0.03     0.00    -0.08     1.50    -1.61     0.00    -0.07     0.13     0.79   668.47   677.24
     0.00     0.00 -1000.00     0.00    -1.21     0.00     0.04     0.00     0.08     1.50    -1.40     0.00     0.07     0.13    -1.06   668.47   659.51
     2.00  1000.00     0.00     1.19    -0.02    -0.06     0.09     1.60     1.68     1.65    -1.55    -0.09    -0.03    -0.79    -0.13   712.42   703.69
     2.00 -1000.00     0.00    -1.23    -0.02    -0.13     0.09     1.76     1.68     1.45    -1.55     0.04    -0.03     1.06    -0.13   694.77   703.69
     2.00     0.00  1000.00    -0.02     1.19    -0.09     0.06     1.68     1.60     1.55    -1.65    -0.03    -0.09     0.13     0.79   703.69   712.42
     2.00     0.00 -1000.00    -0.02    -1.23    -0.09     0.13     1.68     1.76     1.55    -1.45    -0.03     0.04     0.13    -1.06   703.69   694.77
     4.00  1000.00     0.00     1.17    -0.04    -0.16     0.19     3.28     3.36     1.70    -1.60    -0.12    -0.05    -0.79    -0.13   747.19   738.49
     4.00 -1000.00     0.00    -1.25    -0.04    -0.23     0.19     3.44     3.36     1.50    -1.60     0.01    -0.05     1.06    -0.13   729.60   738.49
     4.00     0.00  1000.00    -0.04     1.17    -0.19     0.16     3.36     3.28     1.60    -1.70    -0.05    -0.12     0.13     0.79   738.49   747.19
     4.00     0.00 -1000.00    -0.04    -1.25    -0.19     0.23     3.36     3.44     1.60    -1.50    -0.05     0.01     0.13    -1.06   738.49   729.60
     6.00  1000.00     0.00     1.16    -0.05    -0.26     0.29     4.97     5.05     1.76    -1.65    -0.14    -0.08    -0.79    -0.14   781.48   772.82
     6.00 -1000.00     0.00    -1.27    -0.05    -0.33     0.29     5.13     5.05     1.55    -1.65    -0.01    -0.08     1.06    -0.14   763.95   772.82
     6.00     0.00  1000.00    -0.05     1.16    -0.29     0.26     5.05     4.97     1.65    -1.76    -0.08    -0.14     0.14     0.79   772.82   781.48
     6.00     0.00 -1000.00    -0.05    -1.27    -0.29     0.33     5.05     5.13     1.65    -1.55    -0.08    -0.01     0.14    -1.06   772.82   763.95
     8.00  1000.00     0.00     1.14    -0.07    -0.37     0.40     6.66     6.74     1.81    -1.70    -0.17    -0.10    -0.79    -0.14   815.26   806.62
     8.00 -1000.00     0.00    -1.29    -0.07    -0.44     0.40     6.82     6.74     1.60    -1.70    -0.04    -0.10     1.06    -0.14   797.77   806.62
     8.00     0.00  1000.00    -0.07     1.14    -0.40     0.37     6.74     6.66     1.70    -1.81    -0.10    -0.17     0.14     0.79   806.62   815.26
     8.00     0.00 -1000.00    -0.07    -1.29    -0.40     0.44     6.74     6.82     1.70    -1.60    -0.10    -0.04     0.14    -1.06   806.62   797.77
    10.00  1000.00     0.00     1.12    -0.09    -0.49     0.52     8.36     8.44     1.86    -1.75    -0.19    -0.13    -0.79    -0.14   848.47   839.84
    10.00 -1000.00     0.00    -1.30    -0.09    -0.56     0.52     8.52     8.44     1.65    -1.75    -0.06    -0.13     1.06    -0.14   831.00   839.84
    10.00     0.00  1000.00    -0.09     1.12    -0.52     0.49     8.44     8.36     1.75    -1.86    -0.13    -0.19     0.14     0.79   839.84   848.47
