
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.7                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Parallel Kinematics                                             FSE06 rear suspension                               

   WhlTra      Toe   Camber  TrackCh  LongTra    RCLat   RCVert   RCHeig   Anti-S   Anti-D KPOffset   KPIncl   Caster  CastAng
     [mm]    [min]    [deg]     [mm]     [mm]     [mm]     [mm]     [mm]      [%]      [%]     [mm]    [deg]     [mm]    [deg]

     0.00    12.00    -1.30     0.00     0.00     0.00  -173.21    26.79    13.09    32.21    25.63     4.62    37.09     9.46
     2.00    11.88    -1.37     0.14     0.09     0.00  -174.29    24.13    12.64    32.18    25.63     4.69    36.89     9.41
     4.00    11.74    -1.43     0.27     0.17     0.00  -175.38    21.46    12.18    32.15    25.64     4.75    36.69     9.36
     6.00    11.57    -1.50     0.39     0.26     0.00  -176.47    18.79    11.72    32.12    25.64     4.82    36.49     9.30
     8.00    11.37    -1.56     0.49     0.34     0.00  -177.56    16.10    11.25    32.09    25.65     4.88    36.29     9.25
    10.00    11.15    -1.63     0.58     0.43     0.00  -178.66    13.40    10.77    32.05    25.65     4.95    36.09     9.20
    12.00    10.91    -1.70     0.66     0.52     0.00  -179.76    10.69    10.29    32.02    25.66     5.02    35.89     9.14
    14.00    10.64    -1.77     0.72     0.61     0.00  -180.87     7.97     9.79    31.99    25.66     5.09    35.69     9.09
    16.00    10.34    -1.83     0.76     0.70     0.00  -181.98     5.23     9.29    31.95    25.67     5.16    35.49     9.03
    18.00    10.01    -1.90     0.79     0.79     0.00  -183.11     2.46     8.78    31.92    25.67     5.23    35.28     8.98
    20.00     9.66    -1.97     0.81     0.88     0.00  -184.24    -0.33     8.25    31.88    25.68     5.30    35.07     8.92
    22.00     9.27    -2.04     0.81     0.97     0.00  -185.39    -3.16     7.71    31.85    25.68     5.37    34.86     8.86
    24.00     8.86    -2.12     0.79     1.07     0.00  -186.56    -6.03     7.16    31.81    25.69     5.44    34.65     8.81
    26.00     8.41    -2.19     0.76     1.17     0.00  -187.74    -8.96     6.59    31.77    25.69     5.51    34.44     8.75
    28.00     7.93    -2.26     0.70     1.27     0.00  -188.96   -11.96     5.99    31.73    25.70     5.59    34.21     8.69
     0.00    12.00    -1.30     0.00     0.00     0.00  -173.21    26.79    13.09    32.21    25.63     4.62    37.09     9.46
    -2.00    12.10    -1.23    -0.16    -0.08     0.00  -172.12    29.45    13.53    32.24    25.62     4.55    37.29     9.52
    -4.00    12.17    -1.17    -0.33    -0.17     0.00  -171.04    32.11    13.97    32.27    25.62     4.49    37.48     9.57
    -6.00    12.22    -1.10    -0.51    -0.25     0.00  -169.95    34.76    14.40    32.30    25.62     4.42    37.68     9.62
    -8.00    12.24    -1.04    -0.71    -0.34     0.00  -168.87    37.41    14.83    32.33    25.61     4.36    37.88     9.67
   -10.00    12.25    -0.97    -0.92    -0.42     0.00  -167.79    40.06    15.25    32.36    25.61     4.29    38.08     9.73
   -12.00    12.23    -0.91    -1.14    -0.50     0.00  -166.70    42.71    15.67    32.39    25.60     4.23    38.27     9.78
   -14.00    12.19    -0.84    -1.38    -0.58     0.00  -165.62    45.36    16.08    32.42    25.60     4.17    38.47     9.83
   -16.00    12.12    -0.78    -1.63    -0.67     0.00  -164.53    48.01    16.49    32.44    25.59     4.10    38.66     9.88
   -18.00    12.03    -0.72    -1.90    -0.75     0.00  -163.44    50.66    16.89    32.47    25.59     4.04    38.86     9.93
   -20.00    11.92    -0.65    -2.18    -0.83     0.00  -162.35    53.31    17.29    32.50    25.59     3.97    39.06     9.99
   -22.00    11.79    -0.59    -2.47    -0.91     0.00  -161.26    55.96    17.69    32.52    25.58     3.91    39.25    10.04
   -24.00    11.64    -0.52    -2.78    -0.99     0.00  -160.17    58.62    18.08    32.55    25.58     3.85    39.45    10.09
   -26.00    11.46    -0.46    -3.10    -1.07     0.00  -159.08    61.28    18.47    32.58    25.57     3.78    39.65    10.14
   -28.00    11.26    -0.39    -3.43    -1.15     0.00  -157.98    63.94    18.85    32.60    25.57     3.72    39.84    10.19
   -30.00    11.06    -0.33    -3.76    -1.23     0.00  -156.93    66.48    19.21    32.63    25.57     3.66    40.03    10.24
