
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.7                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Torque Y at Wheel Center                           FSE06 rear suspension                               

   WhTra  TorquY_L TorquY_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
     [mm]     [Nm]     [Nm]     [mm]     [mm]     [mm]     [mm]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]    [deg]    [deg]      [N]      [N]

     0.00   100.00     0.00     0.05     0.00    -0.03     0.00     0.42     0.00     1.33    -1.30     0.22     0.00    -0.30     0.20   665.36   712.01
     0.00  -100.00     0.00    -0.05     0.00     0.03     0.00    -0.43     0.00     1.27    -1.30    -0.22     0.00    -0.10     0.20   758.79   712.01
     0.00     0.00   100.00     0.00     0.05     0.00     0.03     0.00     0.42     1.30    -1.33     0.00     0.22    -0.20     0.30   712.01   665.36
     0.00     0.00  -100.00     0.00    -0.05     0.00    -0.03     0.00    -0.43     1.30    -1.27     0.00    -0.22    -0.20     0.10   712.01   758.79
     2.00   100.00     0.00    -0.04    -0.08    -0.19     0.16     2.00     1.58     1.40    -1.37     0.28     0.05    -0.30     0.20   711.73   758.50
     2.00  -100.00     0.00    -0.13    -0.08    -0.13     0.16     1.15     1.58     1.34    -1.37    -0.17     0.05    -0.10     0.20   805.38   758.50
     2.00     0.00   100.00    -0.08    -0.04    -0.16     0.19     1.58     2.00     1.37    -1.40     0.05     0.28    -0.20     0.30   758.50   711.73
     2.00     0.00  -100.00    -0.08    -0.13    -0.16     0.13     1.58     1.15     1.37    -1.34     0.05    -0.17    -0.20     0.10   758.50   805.38
     4.00   100.00     0.00    -0.12    -0.17    -0.36     0.32     3.58     3.16     1.46    -1.43     0.33     0.11    -0.29     0.20   757.64   804.54
     4.00  -100.00     0.00    -0.22    -0.17    -0.29     0.32     2.73     3.16     1.40    -1.43    -0.12     0.11    -0.10     0.20   851.56   804.54
     4.00     0.00   100.00    -0.17    -0.12    -0.32     0.36     3.16     3.58     1.43    -1.46     0.11     0.33    -0.20     0.29   804.54   757.64
     4.00     0.00  -100.00    -0.17    -0.22    -0.32     0.29     3.16     2.73     1.43    -1.40     0.11    -0.12    -0.20     0.10   804.54   851.56
     6.00   100.00     0.00    -0.21    -0.26    -0.53     0.50     5.17     4.74     1.53    -1.50     0.38     0.16    -0.29     0.19   803.01   850.07
     6.00  -100.00     0.00    -0.30    -0.26    -0.46     0.50     4.32     4.74     1.47    -1.50    -0.06     0.16    -0.09     0.19   897.23   850.07
     6.00     0.00   100.00    -0.26    -0.21    -0.50     0.53     4.74     5.17     1.50    -1.53     0.16     0.38    -0.19     0.29   850.07   803.01
     6.00     0.00  -100.00    -0.26    -0.30    -0.50     0.46     4.74     4.32     1.50    -1.47     0.16    -0.06    -0.19     0.09   850.07   897.23
     8.00   100.00     0.00    -0.29    -0.34    -0.72     0.68     6.76     6.33     1.59    -1.56     0.44     0.22    -0.29     0.19   847.73   894.97
     8.00  -100.00     0.00    -0.39    -0.34    -0.64     0.68     5.91     6.33     1.53    -1.56    -0.01     0.22    -0.09     0.19   942.31   894.97
     8.00     0.00   100.00    -0.34    -0.29    -0.68     0.72     6.33     6.76     1.56    -1.59     0.22     0.44    -0.19     0.29   894.97   847.73
     8.00     0.00  -100.00    -0.34    -0.39    -0.68     0.64     6.33     5.91     1.56    -1.53     0.22    -0.01    -0.19     0.09   894.97   942.31
    10.00   100.00     0.00    -0.38    -0.43    -0.91     0.87     8.36     7.93     1.66    -1.63     0.49     0.27    -0.28     0.19   891.67   939.12
    10.00  -100.00     0.00    -0.48    -0.43    -0.83     0.87     7.50     7.93     1.60    -1.63     0.05     0.27    -0.09     0.19   986.68   939.12
    10.00     0.00   100.00    -0.43    -0.38    -0.87     0.91     7.93     8.36     1.63    -1.66     0.27     0.49    -0.19     0.28   939.12   891.67
    10.00     0.00  -100.00    -0.43    -0.48    -0.87     0.83     7.93     7.50     1.63    -1.60     0.27     0.05    -0.19     0.09   939.12   986.68
    12.00   100.00     0.00    -0.47    -0.52    -1.11     1.06     9.97     9.54     1.73    -1.70     0.55     0.33    -0.28     0.18   934.69   982.40
    12.00  -100.00     0.00    -0.56    -0.52    -1.02     1.06     9.10     9.54     1.67    -1.70     0.10     0.33    -0.08     0.18  1030.21   982.40
    12.00     0.00   100.00    -0.52    -0.47    -1.06     1.11     9.54     9.97     1.70    -1.73     0.33     0.55    -0.18     0.28   982.40   934.69
    12.00     0.00  -100.00    -0.52    -0.56    -1.06     1.02     9.54     9.10     1.70    -1.67     0.33     0.10    -0.18     0.08   982.40  1030.21
    14.00   100.00     0.00    -0.56    -0.61    -1.32     1.27    11.58    11.15     1.80    -1.77     0.60     0.38    -0.28     0.18   976.62  1024.64
    14.00  -100.00     0.00    -0.65    -0.61    -1.23     1.27    10.72    11.15     1.74    -1.77     0.16     0.38    -0.08     0.18  1072.74  1024.64
    14.00     0.00   100.00    -0.61    -0.56    -1.27     1.32    11.15    11.58     1.77    -1.80     0.38     0.60    -0.18     0.28  1024.64   976.62
    14.00     0.00  -100.00    -0.61    -0.65    -1.27     1.23    11.15    10.72     1.77    -1.74     0.38     0.16    -0.18     0.08  1024.64  1072.74
    16.00   100.00     0.00    -0.65    -0.70    -1.54     1.49    13.21    12.78     1.86    -1.83     0.66     0.44    -0.27     0.17  1017.25  1065.63
    16.00  -100.00     0.00    -0.74    -0.70    -1.44     1.49    12.34    12.78     1.80    -1.83     0.21     0.44    -0.07     0.17  1114.07  1065.63
    16.00     0.00   100.00    -0.70    -0.65    -1.49     1.54    12.78    13.21     1.83    -1.86     0.44     0.66    -0.17     0.27  1065.63  1017.25
    16.00     0.00  -100.00    -0.70    -0.74    -1.49     1.44    12.78    12.34     1.83    -1.80     0.44     0.21    -0.17     0.07  1065.63  1114.07
    18.00   100.00     0.00    -0.74    -0.79    -1.76     1.71    14.85    14.42     1.93    -1.90     0.72     0.49    -0.27     0.17  1056.31  1105.12
    18.00  -100.00     0.00    -0.83    -0.79    -1.66     1.71    13.97    14.42     1.87    -1.90     0.27     0.49    -0.07     0.17  1153.98  1105.12
    18.00     0.00   100.00    -0.79    -0.74    -1.71     1.76    14.42    14.85     1.90    -1.93     0.49     0.72    -0.17     0.27  1105.12  1056.31
    18.00     0.00  -100.00    -0.79    -0.83    -1.71     1.66    14.42    13.97     1.90    -1.87     0.49     0.27    -0.17     0.07  1105.12  1153.98
    20.00   100.00     0.00    -0.83    -0.88    -2.00     1.95    16.51    16.07     2.00    -1.97     0.77     0.55    -0.26     0.16  1093.46  1142.80
    20.00  -100.00     0.00    -0.93    -0.88    -1.89     1.95    15.63    16.07     1.94    -1.97     0.32     0.55    -0.06     0.16  1192.16  1142.80
    20.00     0.00   100.00    -0.88    -0.83    -1.95     2.00    16.07    16.51     1.97    -2.00     0.55     0.77    -0.16     0.26  1142.80  1093.46
    20.00     0.00  -100.00    -0.88    -0.93    -1.95     1.89    16.07    15.63     1.97    -1.94     0.55     0.32    -0.16     0.06  1142.80  1192.16
    22.00   100.00     0.00    -0.93    -0.97    -2.25     2.19    18.19    17.74     2.07    -2.04     0.83     0.61    -0.25     0.15  1128.25  1178.24
    22.00  -100.00     0.00    -1.02    -0.97    -2.14     2.19    17.30    17.74     2.01    -2.04     0.38     0.61    -0.05     0.15  1228.23  1178.24
    22.00     0.00   100.00    -0.97    -0.93    -2.19     2.25    17.74    18.19     2.04    -2.07     0.61     0.83    -0.15     0.25  1178.24  1128.25
    22.00     0.00  -100.00    -0.97    -1.02    -2.19     2.14    17.74    17.30     2.04    -2.01     0.61     0.38    -0.15     0.05  1178.24  1228.23
    24.00   100.00     0.00    -1.02    -1.07    -2.51     2.45    19.90    19.44     2.15    -2.12     0.89     0.66    -0.25     0.15  1160.09  1210.91
    24.00  -100.00     0.00    -1.11    -1.07    -2.39     2.45    18.99    19.44     2.08    -2.12     0.44     0.66    -0.05     0.15  1261.68  1210.91
    24.00     0.00   100.00    -1.07    -1.02    -2.45     2.51    19.44    19.90     2.12    -2.15     0.66     0.89    -0.15     0.25  1210.91  1160.09
    24.00     0.00  -100.00    -1.07    -1.11    -2.45     2.39    19.44    18.99     2.12    -2.08     0.66     0.44    -0.15     0.05  1210.91  1261.68
    26.00   100.00     0.00    -1.12    -1.17    -2.79     2.72    21.64    21.18     2.22    -2.19     0.95     0.72    -0.24     0.14  1188.13  1240.01
    26.00  -100.00     0.00    -1.21    -1.17    -2.66     2.72    20.71    21.18     2.16    -2.19     0.50     0.72    -0.04     0.14  1291.78  1240.01
    26.00     0.00   100.00    -1.17    -1.12    -2.72     2.79    21.18    21.64     2.19    -2.22     0.72     0.95    -0.14     0.24  1240.01  1188.13
    26.00     0.00  -100.00    -1.17    -1.21    -2.72     2.66    21.18    20.71     2.19    -2.16     0.72     0.50    -0.14     0.04  1240.01  1291.78
    28.00   100.00     0.00    -1.22    -1.27    -3.08     3.01    23.43    22.95     2.29    -2.26     1.01     0.78    -0.23     0.13  1211.06  1264.39
    28.00  -100.00     0.00    -1.31    -1.27    -2.94     3.01    22.47    22.95     2.23    -2.26     0.56     0.78    -0.03     0.13  1317.52  1264.39
    28.00     0.00   100.00    -1.27    -1.22    -3.01     3.08    22.95    23.43     2.26    -2.29     0.78     1.01    -0.13     0.23  1264.39  1211.06
    28.00     0.00  -100.00    -1.27    -1.31    -3.01     2.94    22.95    22.47     2.26    -2.23     0.78     0.56    -0.13     0.03  1264.39  1317.52
    -2.00   100.00     0.00     0.13     0.08     0.12    -0.15    -1.15    -1.57     1.26    -1.23     0.17    -0.05    -0.30     0.20   618.60   665.16
    -2.00  -100.00     0.00     0.04     0.08     0.18    -0.15    -2.00    -1.57     1.20    -1.23    -0.28    -0.05    -0.10     0.20   711.85   665.16
    -2.00     0.00   100.00     0.08     0.13     0.15    -0.12    -1.57    -1.15     1.23    -1.26    -0.05     0.17    -0.20     0.30   665.16   618.60
    -2.00     0.00  -100.00     0.08     0.04     0.15    -0.18    -1.57    -2.00     1.23    -1.20    -0.05    -0.28    -0.20     0.10   665.16   711.85
