
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.7                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Torque X at Wheel Center                           FSE06 rear suspension                               

   WhTra  TorquX_L TorquX_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
     [mm]     [Nm]     [Nm]     [mm]     [mm]     [mm]     [mm]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]    [deg]    [deg]      [N]      [N]

     0.00   100.00     0.00     0.05     0.00    -0.05     0.00     0.52     0.00     1.37    -1.30     0.03     0.00    -0.33     0.20   654.54   712.01
     0.00  -100.00     0.00    -0.05     0.00     0.05     0.00    -0.52     0.00     1.23    -1.30    -0.03     0.00    -0.07     0.20   769.45   712.01
     0.00     0.00   100.00     0.00    -0.05     0.00    -0.05     0.00    -0.52     1.30    -1.23     0.00    -0.03    -0.20     0.07   712.01   769.45
     0.00     0.00  -100.00     0.00     0.05     0.00     0.05     0.00     0.52     1.30    -1.37     0.00     0.03    -0.20     0.33   712.01   654.54
     2.00   100.00     0.00    -0.04    -0.08    -0.21     0.16     2.10     1.58     1.43    -1.37     0.08     0.05    -0.33     0.20   700.83   758.50
     2.00  -100.00     0.00    -0.13    -0.08    -0.11     0.16     1.05     1.58     1.30    -1.37     0.02     0.05    -0.06     0.20   816.11   758.50
     2.00     0.00   100.00    -0.08    -0.13    -0.16     0.11     1.58     1.05     1.37    -1.30     0.05     0.02    -0.20     0.06   758.50   816.11
     2.00     0.00  -100.00    -0.08    -0.04    -0.16     0.21     1.58     2.10     1.37    -1.43     0.05     0.08    -0.20     0.33   758.50   700.83
     4.00   100.00     0.00    -0.12    -0.17    -0.38     0.32     3.68     3.16     1.50    -1.43     0.14     0.11    -0.33     0.20   746.67   804.54
     4.00  -100.00     0.00    -0.22    -0.17    -0.27     0.32     2.63     3.16     1.37    -1.43     0.08     0.11    -0.06     0.20   862.36   804.54
     4.00     0.00   100.00    -0.17    -0.22    -0.32     0.27     3.16     2.63     1.43    -1.37     0.11     0.08    -0.20     0.06   804.54   862.36
     4.00     0.00  -100.00    -0.17    -0.12    -0.32     0.38     3.16     3.68     1.43    -1.50     0.11     0.14    -0.20     0.33   804.54   746.67
     6.00   100.00     0.00    -0.21    -0.26    -0.55     0.50     5.27     4.74     1.56    -1.50     0.19     0.16    -0.32     0.19   791.94   850.07
     6.00  -100.00     0.00    -0.30    -0.26    -0.44     0.50     4.22     4.74     1.43    -1.50     0.13     0.16    -0.06     0.19   908.12   850.07
     6.00     0.00   100.00    -0.26    -0.30    -0.50     0.44     4.74     4.22     1.50    -1.43     0.16     0.13    -0.19     0.06   850.07   908.12
     6.00     0.00  -100.00    -0.26    -0.21    -0.50     0.55     4.74     5.27     1.50    -1.56     0.16     0.19    -0.19     0.32   850.07   791.94
     8.00   100.00     0.00    -0.30    -0.34    -0.74     0.68     6.86     6.33     1.63    -1.56     0.25     0.22    -0.32     0.19   836.56   894.97
     8.00  -100.00     0.00    -0.39    -0.34    -0.62     0.68     5.81     6.33     1.50    -1.56     0.19     0.22    -0.06     0.19   953.29   894.97
     8.00     0.00   100.00    -0.34    -0.39    -0.68     0.62     6.33     5.81     1.56    -1.50     0.22     0.19    -0.19     0.06   894.97   953.29
     8.00     0.00  -100.00    -0.34    -0.30    -0.68     0.74     6.33     6.86     1.56    -1.63     0.22     0.25    -0.19     0.32   894.97   836.56
    10.00   100.00     0.00    -0.39    -0.43    -0.93     0.87     8.46     7.93     1.70    -1.63     0.30     0.27    -0.31     0.19   880.40   939.12
    10.00  -100.00     0.00    -0.47    -0.43    -0.81     0.87     7.40     7.93     1.57    -1.63     0.24     0.27    -0.06     0.19   997.75   939.12
    10.00     0.00   100.00    -0.43    -0.47    -0.87     0.81     7.93     7.40     1.63    -1.57     0.27     0.24    -0.19     0.06   939.12   997.75
    10.00     0.00  -100.00    -0.43    -0.39    -0.87     0.93     7.93     8.46     1.63    -1.70     0.27     0.30    -0.19     0.31   939.12   880.40
    12.00   100.00     0.00    -0.47    -0.52    -1.13     1.06    10.07     9.54     1.76    -1.70     0.36     0.33    -0.31     0.18   923.32   982.40
    12.00  -100.00     0.00    -0.56    -0.52    -1.00     1.06     9.00     9.54     1.63    -1.70     0.29     0.33    -0.05     0.18  1041.38   982.40
    12.00     0.00   100.00    -0.52    -0.56    -1.06     1.00     9.54     9.00     1.70    -1.63     0.33     0.29    -0.18     0.05   982.40  1041.38
    12.00     0.00  -100.00    -0.52    -0.47    -1.06     1.13     9.54    10.07     1.70    -1.76     0.33     0.36    -0.18     0.31   982.40   923.32
