
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.7                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Force Y at Wheel Center                            FSE06 front suspension                              

   WhTra  ForceY_L ForceY_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
     [mm]      [N]      [N]     [mm]     [mm]     [mm]     [mm]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]    [deg]    [deg]      [N]      [N]

     0.00  1000.00     0.00     0.03     0.00     0.07     0.00    -0.39     0.00     1.49    -1.50    -0.01     0.00     0.11    -0.13   711.28   668.47
     0.00 -1000.00     0.00    -0.03     0.00    -0.07     0.00     0.40     0.00     1.51    -1.50     0.00     0.00     0.16    -0.13   624.11   668.47
     0.00     0.00  1000.00     0.00    -0.03     0.00     0.07     0.00     0.40     1.50    -1.51     0.00     0.00     0.13    -0.16   668.47   624.11
     0.00     0.00 -1000.00     0.00     0.03     0.00    -0.07     0.00    -0.39     1.50    -1.49     0.00    -0.01     0.13    -0.11   668.47   711.28
     2.00  1000.00     0.00     0.01    -0.02    -0.02     0.09     1.26     1.68     1.54    -1.55    -0.03    -0.03     0.11    -0.13   749.73   703.69
     2.00 -1000.00     0.00    -0.05    -0.02    -0.16     0.09     2.11     1.68     1.56    -1.55    -0.02    -0.03     0.16    -0.13   655.99   703.69
     2.00     0.00  1000.00    -0.02    -0.05    -0.09     0.16     1.68     2.11     1.55    -1.56    -0.03    -0.02     0.13    -0.16   703.69   655.99
     2.00     0.00 -1000.00    -0.02     0.01    -0.09     0.02     1.68     1.26     1.55    -1.54    -0.03    -0.03     0.13    -0.11   703.69   749.73
     4.00  1000.00     0.00     0.00    -0.04    -0.11     0.19     2.92     3.36     1.59    -1.60    -0.06    -0.05     0.11    -0.13   787.77   738.49
     4.00 -1000.00     0.00    -0.07    -0.04    -0.26     0.19     3.83     3.36     1.61    -1.60    -0.05    -0.05     0.16    -0.13   687.42   738.49
     4.00     0.00  1000.00    -0.04    -0.07    -0.19     0.26     3.36     3.83     1.60    -1.61    -0.05    -0.05     0.13    -0.16   738.49   687.42
     4.00     0.00 -1000.00    -0.04     0.00    -0.19     0.11     3.36     2.92     1.60    -1.59    -0.05    -0.06     0.13    -0.11   738.49   787.77
     6.00  1000.00     0.00    -0.02    -0.05    -0.21     0.29     4.57     5.05     1.64    -1.65    -0.08    -0.08     0.11    -0.14   825.38   772.82
     6.00 -1000.00     0.00    -0.09    -0.05    -0.37     0.29     5.55     5.05     1.66    -1.65    -0.07    -0.08     0.16    -0.14   718.34   772.82
     6.00     0.00  1000.00    -0.05    -0.09    -0.29     0.37     5.05     5.55     1.65    -1.66    -0.08    -0.07     0.14    -0.16   772.82   718.34
     6.00     0.00 -1000.00    -0.05    -0.02    -0.29     0.21     5.05     4.57     1.65    -1.64    -0.08    -0.08     0.14    -0.11   772.82   825.38
     8.00  1000.00     0.00    -0.04    -0.07    -0.32     0.40     6.24     6.74     1.69    -1.70    -0.11    -0.10     0.11    -0.14   862.50   806.62
     8.00 -1000.00     0.00    -0.11    -0.07    -0.49     0.40     7.27     6.74     1.71    -1.70    -0.10    -0.10     0.17    -0.14   748.69   806.62
     8.00     0.00  1000.00    -0.07    -0.11    -0.40     0.49     6.74     7.27     1.70    -1.71    -0.10    -0.10     0.14    -0.17   806.62   748.69
     8.00     0.00 -1000.00    -0.07    -0.04    -0.40     0.32     6.74     6.24     1.70    -1.69    -0.10    -0.11     0.14    -0.11   806.62   862.50
    10.00  1000.00     0.00    -0.05    -0.09    -0.43     0.52     7.90     8.44     1.74    -1.75    -0.13    -0.13     0.11    -0.14   899.08   839.84
    10.00 -1000.00     0.00    -0.12    -0.09    -0.61     0.52     9.00     8.44     1.77    -1.75    -0.13    -0.13     0.17    -0.14   778.41   839.84
