
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.7                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Reciprocal Kinematics                                           FSE06 front suspension                              

  WhlTraL  WhlTraR    RCLat   RCVert   RCHeig     ToeL     ToeR  CamberL  CamberR  TotRoll  TransZL  TransZR WhlLoadL WhlLoadR
     [mm]     [mm]     [mm]     [mm]     [mm]    [min]    [min]    [deg]    [deg]    [deg]     [mm]     [mm]      [N]      [N]

     0.00     0.00     0.00  -172.38    27.62    -8.00    -8.00    -1.50    -1.50     0.00     0.00     0.00   668.47   668.47
     0.00     2.00    -4.80  -172.17    26.99    -8.00    -8.04    -1.50    -1.55    -0.07     0.00     1.68   668.47   703.69
     0.00     4.00    -9.86  -171.96    26.36    -8.00    -8.07    -1.50    -1.60    -0.15     0.00     3.36   668.47   738.49
     0.00     6.00   -15.21  -171.73    25.75    -8.00    -8.10    -1.50    -1.65    -0.22     0.00     5.05   668.47   772.82
     0.00     8.00   -20.88  -171.49    25.14    -8.00    -8.13    -1.50    -1.70    -0.30     0.00     6.74   668.47   806.62
     0.00    10.00   -26.89  -171.23    24.55    -8.00    -8.15    -1.50    -1.75    -0.37     0.00     8.44   668.47   839.84
     0.00    12.00   -33.27  -170.96    23.97    -8.00    -8.16    -1.50    -1.81    -0.45     0.00    10.14   668.47   872.42
     0.00    14.00   -40.06  -170.67    23.40    -8.00    -8.17    -1.50    -1.86    -0.52     0.00    11.85   668.47   904.28
     0.00    16.00   -47.30  -170.36    22.85    -8.00    -8.18    -1.50    -1.92    -0.60     0.00    13.57   668.47   935.35
     0.00    18.00   -55.03  -170.03    22.32    -8.00    -8.19    -1.50    -1.98    -0.68     0.00    15.29   668.47   965.54
     0.00    20.00   -63.31  -169.68    21.80    -8.00    -8.19    -1.50    -2.03    -0.75     0.00    17.03   668.47   994.73
     0.00    22.00   -72.20  -169.30    21.31    -8.00    -8.20    -1.50    -2.09    -0.83     0.00    18.77   668.47  1022.82
     0.00    24.00   -81.77  -168.89    20.84    -8.00    -8.20    -1.50    -2.15    -0.91     0.00    20.52   668.47  1049.67
     0.00    26.00   -92.11  -168.45    20.40    -8.00    -8.21    -1.50    -2.22    -0.99     0.00    22.29   668.47  1075.12
     0.00    28.00  -103.31  -167.97    19.98    -8.00    -8.21    -1.50    -2.28    -1.06     0.00    24.07   668.47  1098.97
     0.00    30.00  -115.50  -167.45    19.60    -8.00    -8.22    -1.50    -2.34    -1.14     0.00    25.87   668.47  1121.00
     0.00    32.00  -128.82  -166.88    19.26    -8.00    -8.23    -1.50    -2.41    -1.22     0.00    27.69   668.47  1140.93
     0.00    34.00  -143.46  -166.26    18.96    -8.00    -8.25    -1.50    -2.48    -1.31     0.00    29.52   668.47  1158.41
     0.00    36.00  -159.63  -165.57    18.71    -8.00    -8.28    -1.50    -2.55    -1.39     0.00    31.39   668.47  1173.00
     0.00    38.00  -177.65  -164.80    18.53    -8.00    -8.33    -1.50    -2.62    -1.47     0.00    33.28   668.47  1184.13
     0.00     0.00     0.00  -172.38    27.62    -8.00    -8.00    -1.50    -1.50     0.00     0.00     0.00   668.47   668.47
     0.00    -2.00     4.55  -172.57    28.27    -8.00    -7.96    -1.50    -1.45     0.07     0.00    -1.68   668.47   632.86
     0.00    -4.00     8.87  -172.75    28.92    -8.00    -7.90    -1.50    -1.41     0.15     0.00    -3.35   668.47   596.91
     0.00    -6.00    12.98  -172.93    29.58    -8.00    -7.85    -1.50    -1.36     0.22     0.00    -5.02   668.47   560.65
     0.00    -8.00    16.89  -173.10    30.25    -8.00    -7.78    -1.50    -1.31     0.30     0.00    -6.69   668.47   524.11
     0.00   -10.00    20.61  -173.25    30.92    -8.00    -7.72    -1.50    -1.27     0.37     0.00    -8.35   668.47   487.32
     0.00   -12.00    24.16  -173.41    31.60    -8.00    -7.64    -1.50    -1.23     0.44     0.00   -10.02   668.47   450.32
     0.00   -14.00    27.55  -173.55    32.29    -8.00    -7.56    -1.50    -1.18     0.52     0.00   -11.68   668.47   413.12
     0.00   -16.00    30.79  -173.69    32.98    -8.00    -7.47    -1.50    -1.14     0.59     0.00   -13.34   668.47   375.75
     0.00   -18.00    33.88  -173.82    33.68    -8.00    -7.37    -1.50    -1.10     0.66     0.00   -15.00   668.47   338.24
     0.00   -20.00    36.85  -173.95    34.38    -8.00    -7.27    -1.50    -1.06     0.74     0.00   -16.66   668.47   300.60
     0.00   -22.00    39.68  -174.07    35.09    -8.00    -7.15    -1.50    -1.02     0.81     0.00   -18.32   668.47   262.85
