
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.7                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Force X at Wheel Center                            FSE06 rear suspension                               

   WhTra  ForceX_L ForceX_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
     [mm]      [N]      [N]     [mm]     [mm]     [mm]     [mm]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]    [deg]    [deg]      [N]      [N]

     0.00  1000.00     0.00     0.61     0.00     0.04     0.00    -0.38     0.00     1.33    -1.30     0.03     0.00    -0.58     0.20   754.33   712.01
     0.00 -1000.00     0.00    -0.61     0.00    -0.04     0.00     0.38     0.00     1.27    -1.30    -0.03     0.00     0.18     0.20   669.72   712.01
     0.00     0.00  1000.00     0.00     0.61     0.00    -0.04     0.00    -0.38     1.30    -1.33     0.00     0.03    -0.20     0.58   712.01   754.33
     0.00     0.00 -1000.00     0.00    -0.61     0.00     0.04     0.00     0.38     1.30    -1.27     0.00    -0.03    -0.20    -0.18   712.01   669.72
     2.00  1000.00     0.00     0.53    -0.08    -0.11     0.16     1.19     1.58     1.39    -1.37     0.08     0.05    -0.57     0.20   801.04   758.50
     2.00 -1000.00     0.00    -0.70    -0.08    -0.20     0.16     1.96     1.58     1.34    -1.37     0.03     0.05     0.18     0.20   715.98   758.50
     2.00     0.00  1000.00    -0.08     0.53    -0.16     0.11     1.58     1.19     1.37    -1.39     0.05     0.08    -0.20     0.57   758.50   801.04
     2.00     0.00 -1000.00    -0.08    -0.70    -0.16     0.20     1.58     1.96     1.37    -1.34     0.05     0.03    -0.20    -0.18   758.50   715.98
     4.00  1000.00     0.00     0.44    -0.17    -0.28     0.32     2.77     3.16     1.46    -1.43     0.14     0.11    -0.57     0.20   847.33   804.54
     4.00 -1000.00     0.00    -0.78    -0.17    -0.37     0.32     3.55     3.16     1.40    -1.43     0.08     0.11     0.18     0.20   761.77   804.54
     4.00     0.00  1000.00    -0.17     0.44    -0.32     0.28     3.16     2.77     1.43    -1.46     0.11     0.14    -0.20     0.57   804.54   847.33
     4.00     0.00 -1000.00    -0.17    -0.78    -0.32     0.37     3.16     3.55     1.43    -1.40     0.11     0.08    -0.20    -0.18   804.54   761.77
     6.00  1000.00     0.00     0.36    -0.26    -0.45     0.50     4.35     4.74     1.52    -1.50     0.19     0.16    -0.57     0.19   893.12   850.07
     6.00 -1000.00     0.00    -0.87    -0.26    -0.55     0.50     5.14     4.74     1.47    -1.50     0.13     0.16     0.18     0.19   807.01   850.07
     6.00     0.00  1000.00    -0.26     0.36    -0.50     0.45     4.74     4.35     1.50    -1.52     0.16     0.19    -0.19     0.57   850.07   893.12
     6.00     0.00 -1000.00    -0.26    -0.87    -0.50     0.55     4.74     5.14     1.50    -1.47     0.16     0.13    -0.19    -0.18   850.07   807.01
     8.00  1000.00     0.00     0.27    -0.34    -0.63     0.68     5.94     6.33     1.59    -1.56     0.24     0.22    -0.56     0.19   938.33   894.97
     8.00 -1000.00     0.00    -0.95    -0.34    -0.73     0.68     6.73     6.33     1.54    -1.56     0.19     0.22     0.19     0.19   851.59   894.97
     8.00     0.00  1000.00    -0.34     0.27    -0.68     0.63     6.33     5.94     1.56    -1.59     0.22     0.24    -0.19     0.56   894.97   938.33
     8.00     0.00 -1000.00    -0.34    -0.95    -0.68     0.73     6.33     6.73     1.56    -1.54     0.22     0.19    -0.19    -0.19   894.97   851.59
    10.00  1000.00     0.00     0.18    -0.43    -0.81     0.87     7.53     7.93     1.66    -1.63     0.30     0.27    -0.56     0.19   982.82   939.12
    10.00 -1000.00     0.00    -1.04    -0.43    -0.92     0.87     8.33     7.93     1.61    -1.63     0.24     0.27     0.19     0.19   895.39   939.12
    10.00     0.00  1000.00    -0.43     0.18    -0.87     0.81     7.93     7.53     1.63    -1.66     0.27     0.30    -0.19     0.56   939.12   982.82
