
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.7                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Force Y at Wheel Center                            FSE04 front suspension                              

   WhTra  ForceY_L ForceY_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
     [mm]      [N]      [N]     [mm]     [mm]     [mm]     [mm]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]    [deg]    [deg]      [N]      [N]

     0.00  1000.00     0.00     0.01     0.00     0.11     0.00    -0.62     0.00     1.48    -1.50     0.01     0.00     0.12    -0.13   736.65   668.47
     0.00 -1000.00     0.00    -0.02     0.00    -0.11     0.00     0.64     0.00     1.52    -1.50    -0.01     0.00     0.15    -0.13   597.75   668.47
     0.00     0.00  1000.00     0.00    -0.02     0.00     0.11     0.00     0.64     1.50    -1.52     0.00    -0.01     0.13    -0.15   668.47   597.75
     0.00     0.00 -1000.00     0.00     0.01     0.00    -0.11     0.00    -0.62     1.50    -1.48     0.00     0.01     0.13    -0.12   668.47   736.65
     2.00  1000.00     0.00    -0.01    -0.03    -0.03     0.14     0.85     1.49     1.53    -1.55    -0.02    -0.03     0.11    -0.13   795.42   724.22
     2.00 -1000.00     0.00    -0.05    -0.03    -0.26     0.14     2.16     1.49     1.57    -1.55    -0.05    -0.03     0.14    -0.13   650.35   724.22
     2.00     0.00  1000.00    -0.03    -0.05    -0.14     0.26     1.49     2.16     1.55    -1.57    -0.03    -0.05     0.13    -0.14   724.22   650.35
     2.00     0.00 -1000.00    -0.03    -0.01    -0.14     0.03     1.49     0.85     1.55    -1.53    -0.03    -0.02     0.13    -0.11   724.22   795.42
     4.00  1000.00     0.00    -0.04    -0.06    -0.17     0.29     2.32     2.99     1.58    -1.60    -0.05    -0.07     0.10    -0.12   853.73   779.48
     4.00 -1000.00     0.00    -0.08    -0.06    -0.41     0.29     3.69     2.99     1.62    -1.60    -0.09    -0.07     0.13    -0.12   702.42   779.48
     4.00     0.00  1000.00    -0.06    -0.08    -0.29     0.41     2.99     3.69     1.60    -1.62    -0.07    -0.09     0.12    -0.13   779.48   702.42
     4.00     0.00 -1000.00    -0.06    -0.04    -0.29     0.17     2.99     2.32     1.60    -1.58    -0.07    -0.05     0.12    -0.10   779.48   853.73
     6.00  1000.00     0.00    -0.07    -0.09    -0.32     0.44     3.79     4.49     1.63    -1.65    -0.09    -0.10     0.09    -0.11   911.58   834.24
     6.00 -1000.00     0.00    -0.11    -0.09    -0.57     0.44     5.22     4.49     1.67    -1.65    -0.12    -0.10     0.12    -0.11   753.98   834.24
     6.00     0.00  1000.00    -0.09    -0.11    -0.44     0.57     4.49     5.22     1.65    -1.67    -0.10    -0.12     0.11    -0.12   834.24   753.98
     6.00     0.00 -1000.00    -0.09    -0.07    -0.44     0.32     4.49     3.79     1.65    -1.63    -0.10    -0.09     0.11    -0.09   834.24   911.58
     8.00  1000.00     0.00    -0.10    -0.12    -0.48     0.61     5.27     6.00     1.68    -1.70    -0.12    -0.14     0.08    -0.10   968.97   888.52
     8.00 -1000.00     0.00    -0.14    -0.12    -0.74     0.61     6.76     6.00     1.72    -1.70    -0.16    -0.14     0.12    -0.10   805.01   888.52
     8.00     0.00  1000.00    -0.12    -0.14    -0.61     0.74     6.00     6.76     1.70    -1.72    -0.14    -0.16     0.10    -0.12   888.52   805.01
     8.00     0.00 -1000.00    -0.12    -0.10    -0.61     0.48     6.00     5.27     1.70    -1.68    -0.14    -0.12     0.10    -0.08   888.52   968.97
    10.00  1000.00     0.00    -0.13    -0.15    -0.64     0.77     6.75     7.51     1.73    -1.75    -0.16    -0.17     0.08    -0.09  1025.88   942.29
    10.00 -1000.00     0.00    -0.17    -0.15    -0.91     0.77     8.30     7.51     1.77    -1.75    -0.19    -0.17     0.11    -0.09   855.51   942.29
