
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.7                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Force Y at Wheel Center                            FSE04 rear suspension                               

   WhTra  ForceY_L ForceY_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
     [mm]      [N]      [N]     [mm]     [mm]     [mm]     [mm]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]    [deg]    [deg]      [N]      [N]

     0.00  1000.00     0.00    -0.05     0.00     0.12     0.00    -0.61     0.00     1.27    -1.30    -0.02     0.00    -0.07     0.20   778.77   712.01
     0.00 -1000.00     0.00     0.05     0.00    -0.13     0.00     0.64     0.00     1.33    -1.30     0.02     0.00    -0.34     0.20   642.00   712.01
     0.00     0.00  1000.00     0.00     0.05     0.00     0.13     0.00     0.64     1.30    -1.33     0.00     0.02    -0.20     0.34   712.01   642.00
     0.00     0.00 -1000.00     0.00    -0.05     0.00    -0.12     0.00    -0.61     1.30    -1.27     0.00    -0.02    -0.20     0.07   712.01   778.77
     2.00  1000.00     0.00    -0.01     0.05    -0.01     0.14     0.85     1.49     1.32    -1.36     0.02     0.04    -0.14     0.28   838.62   768.10
     2.00 -1000.00     0.00     0.10     0.05    -0.27     0.14     2.16     1.49     1.39    -1.36     0.06     0.04    -0.42     0.28   694.13   768.10
     2.00     0.00  1000.00     0.05     0.10    -0.14     0.27     1.49     2.16     1.36    -1.39     0.04     0.06    -0.28     0.42   768.10   694.13
     2.00     0.00 -1000.00     0.05    -0.01    -0.14     0.01     1.49     0.85     1.36    -1.32     0.04     0.02    -0.28     0.14   768.10   838.62
     4.00  1000.00     0.00     0.04     0.10    -0.15     0.29     2.31     2.98     1.38    -1.42     0.06     0.07    -0.21     0.35   898.16   823.84
     4.00 -1000.00     0.00     0.16     0.10    -0.43     0.29     3.69     2.98     1.45    -1.42     0.09     0.07    -0.49     0.35   745.88   823.84
     4.00     0.00  1000.00     0.10     0.16    -0.29     0.43     2.98     3.69     1.42    -1.45     0.07     0.09    -0.35     0.49   823.84   745.88
     4.00     0.00 -1000.00     0.10     0.04    -0.29     0.15     2.98     2.31     1.42    -1.38     0.07     0.06    -0.35     0.21   823.84   898.16
     6.00  1000.00     0.00     0.09     0.15    -0.30     0.45     3.77     4.48     1.44    -1.47     0.09     0.11    -0.29     0.43   957.36   879.21
     6.00 -1000.00     0.00     0.21     0.15    -0.59     0.45     5.22     4.48     1.51    -1.47     0.13     0.11    -0.57     0.43   797.21   879.21
     6.00     0.00  1000.00     0.15     0.21    -0.45     0.59     4.48     5.22     1.47    -1.51     0.11     0.13    -0.43     0.57   879.21   797.21
     6.00     0.00 -1000.00     0.15     0.09    -0.45     0.30     4.48     3.77     1.47    -1.44     0.11     0.09    -0.43     0.29   879.21   957.36
     8.00  1000.00     0.00     0.14     0.20    -0.46     0.61     5.23     5.98     1.49    -1.53     0.13     0.15    -0.36     0.50  1016.20   934.19
     8.00 -1000.00     0.00     0.26     0.20    -0.76     0.61     6.76     5.98     1.57    -1.53     0.17     0.15    -0.65     0.50   848.11   934.19
     8.00     0.00  1000.00     0.20     0.26    -0.61     0.76     5.98     6.76     1.53    -1.57     0.15     0.17    -0.50     0.65   934.19   848.11
     8.00     0.00 -1000.00     0.20     0.14    -0.61     0.46     5.98     5.23     1.53    -1.49     0.15     0.13    -0.50     0.36   934.19  1016.20
    10.00  1000.00     0.00     0.19     0.25    -0.62     0.78     6.70     7.48     1.55    -1.59     0.17     0.19    -0.43     0.57  1074.67   988.75
    10.00 -1000.00     0.00     0.31     0.25    -0.95     0.78     8.30     7.48     1.63    -1.59     0.21     0.19    -0.72     0.57   898.56   988.75
    10.00     0.00  1000.00     0.25     0.31    -0.78     0.95     7.48     8.30     1.59    -1.63     0.19     0.21    -0.57     0.72   988.75   898.56
