
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.7                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Torque Z at Wheel Center                           FSE04 rear suspension                               

   WhTra  TorquZ_L TorquZ_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
     [mm]     [Nm]     [Nm]     [mm]     [mm]     [mm]     [mm]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]    [deg]    [deg]      [N]      [N]

     0.00   100.00     0.00    -1.01     0.00     0.22     0.00    -0.59     0.00     1.18    -1.30    -0.15     0.00     1.27     0.20   776.97   712.01
     0.00  -100.00     0.00     1.01     0.00    -0.25     0.00     0.60     0.00     1.41    -1.30     0.15     0.00    -1.67     0.20   646.13   712.01
     0.00     0.00   100.00     0.00     1.01     0.00     0.25     0.00     0.60     1.30    -1.41     0.00     0.15    -0.20     1.67   712.01   646.13
     0.00     0.00  -100.00     0.00    -1.01     0.00    -0.22     0.00    -0.59     1.30    -1.18     0.00    -0.15    -0.20    -1.27   712.01   776.97
     2.00   100.00     0.00    -0.96     0.05     0.08     0.14     0.90     1.49     1.24    -1.36    -0.11     0.04     1.19     0.28   832.68   768.10
     2.00  -100.00     0.00     1.06     0.05    -0.39     0.14     2.08     1.49     1.47    -1.36     0.19     0.04    -1.75     0.28   702.56   768.10
     2.00     0.00   100.00     0.05     1.06    -0.14     0.39     1.49     2.08     1.36    -1.47     0.04     0.19    -0.28     1.75   768.10   702.56
     2.00     0.00  -100.00     0.05    -0.96    -0.14    -0.08     1.49     0.90     1.36    -1.24     0.04    -0.11    -0.28    -1.19   768.10   832.68
     4.00   100.00     0.00    -0.91     0.10    -0.06     0.29     2.40     2.98     1.30    -1.42    -0.08     0.07     1.12     0.35   888.04   823.84
     4.00  -100.00     0.00     1.11     0.10    -0.55     0.29     3.57     2.98     1.52    -1.42     0.23     0.07    -1.82     0.35   758.63   823.84
     4.00     0.00   100.00     0.10     1.11    -0.29     0.55     2.98     3.57     1.42    -1.52     0.07     0.23    -0.35     1.82   823.84   758.63
     4.00     0.00  -100.00     0.10    -0.91    -0.29     0.06     2.98     2.40     1.42    -1.30     0.07    -0.08    -0.35    -1.12   823.84   888.04
     6.00   100.00     0.00    -0.87     0.15    -0.21     0.45     3.90     4.48     1.36    -1.47    -0.04     0.11     1.05     0.43   943.01   879.21
     6.00  -100.00     0.00     1.16     0.15    -0.71     0.45     5.07     4.48     1.58    -1.47     0.27     0.11    -1.90     0.43   814.34   879.21
     6.00     0.00   100.00     0.15     1.16    -0.45     0.71     4.48     5.07     1.47    -1.58     0.11     0.27    -0.43     1.90   879.21   814.34
     6.00     0.00  -100.00     0.15    -0.87    -0.45     0.21     4.48     3.90     1.47    -1.36     0.11    -0.04    -0.43    -1.05   879.21   943.01
     8.00   100.00     0.00    -0.82     0.20    -0.37     0.61     5.40     5.98     1.42    -1.53     0.00     0.15     0.97     0.50   997.58   934.19
     8.00  -100.00     0.00     1.21     0.20    -0.88     0.61     6.56     5.98     1.64    -1.53     0.30     0.15    -1.98     0.50   869.67   934.19
     8.00     0.00   100.00     0.20     1.21    -0.61     0.88     5.98     6.56     1.53    -1.64     0.15     0.30    -0.50     1.98   934.19   869.67
     8.00     0.00  -100.00     0.20    -0.82    -0.61     0.37     5.98     5.40     1.53    -1.42     0.15     0.00    -0.50    -0.97   934.19   997.58
    10.00   100.00     0.00    -0.77     0.25    -0.54     0.78     6.91     7.48     1.48    -1.59     0.03     0.19     0.90     0.57  1051.73   988.75
    10.00  -100.00     0.00     1.26     0.25    -1.05     0.78     8.06     7.48     1.70    -1.59     0.34     0.19    -2.05     0.57   924.59   988.75
    10.00     0.00   100.00     0.25     1.26    -0.78     1.05     7.48     8.06     1.59    -1.70     0.19     0.34    -0.57     2.05   988.75   924.59
    10.00     0.00  -100.00     0.25    -0.77    -0.78     0.54     7.48     6.91     1.59    -1.48     0.19     0.03    -0.57    -0.90   988.75  1051.73
    12.00   100.00     0.00    -0.72     0.30    -0.72     0.96     8.42     8.99     1.54    -1.65     0.07     0.22     0.83     0.65  1105.43  1042.89
    12.00  -100.00     0.00     1.31     0.30    -1.24     0.96     9.57     8.99     1.75    -1.65     0.38     0.22    -2.13     0.65   979.10  1042.89
    12.00     0.00   100.00     0.30     1.31    -0.96     1.24     8.99     9.57     1.65    -1.75     0.22     0.38    -0.65     2.13  1042.89   979.10
    12.00     0.00  -100.00     0.30    -0.72    -0.96     0.72     8.99     8.42     1.65    -1.54     0.22     0.07    -0.65    -0.83  1042.89  1105.43
    14.00   100.00     0.00    -0.67     0.35    -0.90     1.15     9.94    10.50     1.60    -1.71     0.11     0.26     0.76     0.72  1158.66  1096.57
    14.00  -100.00     0.00     1.37     0.35    -1.43     1.15    11.07    10.50     1.81    -1.71     0.42     0.26    -2.20     0.72  1033.17  1096.57
    14.00     0.00   100.00     0.35     1.37    -1.15     1.43    10.50    11.07     1.71    -1.81     0.26     0.42    -0.72     2.20  1096.57  1033.17
    14.00     0.00  -100.00     0.35    -0.67    -1.15     0.90    10.50     9.94     1.71    -1.60     0.26     0.11    -0.72    -0.76  1096.57  1158.66
    16.00   100.00     0.00    -0.61     0.40    -1.10     1.35    11.46    12.01     1.66    -1.77     0.14     0.30     0.68     0.79  1211.38  1149.76
    16.00  -100.00     0.00     1.42     0.40    -1.63     1.35    12.58    12.01     1.87    -1.77     0.45     0.30    -2.28     0.79  1086.77  1149.76
    16.00     0.00   100.00     0.40     1.42    -1.35     1.63    12.01    12.58     1.77    -1.87     0.30     0.45    -0.79     2.28  1149.76  1086.77
    16.00     0.00  -100.00     0.40    -0.61    -1.35     1.10    12.01    11.46     1.77    -1.66     0.30     0.14    -0.79    -0.68  1149.76  1211.38
    18.00   100.00     0.00    -0.56     0.46    -1.30     1.55    12.98    13.53     1.72    -1.83     0.18     0.34     0.61     0.87  1263.57  1202.44
    18.00  -100.00     0.00     1.47     0.46    -1.84     1.55    14.10    13.53     1.93    -1.83     0.49     0.34    -2.35     0.87  1139.87  1202.44
    18.00     0.00   100.00     0.46     1.47    -1.55     1.84    13.53    14.10     1.83    -1.93     0.34     0.49    -0.87     2.35  1202.44  1139.87
    18.00     0.00  -100.00     0.46    -0.56    -1.55     1.30    13.53    12.98     1.83    -1.72     0.34     0.18    -0.87    -0.61  1202.44  1263.57
    20.00   100.00     0.00    -0.51     0.51    -1.51     1.76    14.51    15.06     1.78    -1.89     0.22     0.37     0.54     0.94  1315.20  1254.59
    20.00  -100.00     0.00     1.53     0.51    -2.05     1.76    15.62    15.06     1.99    -1.89     0.53     0.37    -2.42     0.94  1192.46  1254.59
    20.00     0.00   100.00     0.51     1.53    -1.76     2.05    15.06    15.62     1.89    -1.99     0.37     0.53    -0.94     2.42  1254.59  1192.46
    20.00     0.00  -100.00     0.51    -0.51    -1.76     1.51    15.06    14.51     1.89    -1.78     0.37     0.22    -0.94    -0.54  1254.59  1315.20
    22.00   100.00     0.00    -0.46     0.57    -1.73     1.99    16.05    16.59     1.84    -1.94     0.25     0.41     0.47     1.01  1366.22  1306.15
    22.00  -100.00     0.00     1.59     0.57    -2.28     1.99    17.14    16.59     2.05    -1.94     0.57     0.41    -2.50     1.01  1244.50  1306.15
    22.00     0.00   100.00     0.57     1.59    -1.99     2.28    16.59    17.14     1.94    -2.05     0.41     0.57    -1.01     2.50  1306.15  1244.50
    22.00     0.00  -100.00     0.57    -0.46    -1.99     1.73    16.59    16.05     1.94    -1.84     0.41     0.25    -1.01    -0.47  1306.15  1366.22
    24.00   100.00     0.00    -0.40     0.62    -1.95     2.22    17.59    18.12     1.90    -2.01     0.29     0.45     0.40     1.08  1416.60  1357.12
    24.00  -100.00     0.00     1.64     0.62    -2.51     2.22    18.67    18.12     2.11    -2.01     0.60     0.45    -2.57     1.08  1295.96  1357.12
    24.00     0.00   100.00     0.62     1.64    -2.22     2.51    18.12    18.67     2.01    -2.11     0.45     0.60    -1.08     2.57  1357.12  1295.96
    24.00     0.00  -100.00     0.62    -0.40    -2.22     1.95    18.12    17.59     2.01    -1.90     0.45     0.29    -1.08    -0.40  1357.12  1416.60
    26.00   100.00     0.00    -0.35     0.68    -2.19     2.46    19.13    19.66     1.96    -2.07     0.33     0.48     0.34     1.15  1466.30  1407.43
    26.00  -100.00     0.00     1.70     0.68    -2.76     2.46    20.21    19.66     2.17    -2.07     0.64     0.48    -2.64     1.15  1346.80  1407.43
