
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.7                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Steering Kinematics                                             FSE04 front suspension                              

   WhlTra  TraRack  WhlAngL  WhlAngR  CamberL KPOffset  TrackCh Ackerman TrackDif SteerDif AckError AckPCent StRodAng TrackDia  TurnDia
     [mm]     [mm]    [deg]    [deg]    [deg]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]      [%]    [deg]      [m]      [m]

     0.00     0.00     0.13    -0.13    -1.50    23.56     0.00     0.13     0.00     0.27    -0.27 ********    82.30 ******** ********
     0.00     2.00     2.19     1.92    -1.34    23.55    -0.08     2.13     0.07     0.28    -0.21   418.44    80.26    92.17    91.98
     0.00     4.00     4.26     3.96    -1.17    23.54    -0.31     4.02     0.24     0.30    -0.06   125.31    78.21    44.66    44.41
     0.00     6.00     6.35     6.00    -0.99    23.53    -0.70     5.83     0.52     0.35     0.17    67.03    76.16    29.52    29.22
     0.00     8.00     8.45     8.04    -0.80    23.53    -1.25     7.55     0.90     0.41     0.48    46.21    74.11    22.08    21.72
     0.00    10.00    10.57    10.07    -0.61    23.52    -1.95     9.21     1.36     0.50     0.86    36.61    72.04    17.65    17.24
     0.00    12.00    12.72    12.12    -0.41    23.51    -2.81    10.81     1.91     0.60     1.31    31.54    69.95    14.72    14.25
     0.00    14.00    14.90    14.17    -0.19    23.50    -3.83    12.35     2.55     0.73     1.82    28.65    67.85    12.63    12.10
     0.00    16.00    17.11    16.23     0.02    23.49    -5.01    13.85     3.26     0.88     2.38    26.96    65.73    11.07    10.48
     0.00    18.00    19.35    18.30     0.25    23.48    -6.35    15.31     4.05     1.05     3.00    25.99    63.58     9.86     9.21
     0.00    20.00    21.64    20.39     0.49    23.48    -7.85    16.73     4.91     1.25     3.66    25.48    61.41     8.89     8.19
     0.00    22.00    23.98    22.50     0.74    23.47    -9.52    18.13     5.84     1.48     4.36    25.30    59.20     8.10     7.34
     0.00     0.00     0.13    -0.13    -1.50    23.56     0.00     0.13     0.00     0.27    -0.27 ********    82.30 ******** ********
     0.00    -2.00    -1.92    -2.19    -1.66    23.57    -0.08    -2.13    -0.07    -0.28     0.21   418.44    84.34    92.17    91.98
