
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.7                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Torque Y at Wheel Center                           FSE04 rear suspension                               

   WhTra  TorquY_L TorquY_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
     [mm]     [Nm]     [Nm]     [mm]     [mm]     [mm]     [mm]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]    [deg]    [deg]      [N]      [N]

     0.00   100.00     0.00     0.15     0.00    -0.03     0.00     0.29     0.00     1.30    -1.30     0.23     0.00    -0.36     0.20   679.57   712.01
     0.00  -100.00     0.00    -0.15     0.00     0.03     0.00    -0.30     0.00     1.30    -1.30    -0.23     0.00    -0.04     0.20   744.69   712.01
     0.00     0.00   100.00     0.00     0.15     0.00     0.03     0.00     0.29     1.30    -1.30     0.00     0.23    -0.20     0.36   712.01   679.57
     0.00     0.00  -100.00     0.00    -0.15     0.00    -0.03     0.00    -0.30     1.30    -1.30     0.00    -0.23    -0.20     0.04   712.01   744.69
     2.00   100.00     0.00     0.20     0.05    -0.17     0.14     1.78     1.49     1.36    -1.36     0.27     0.04    -0.43     0.28   735.80   768.10
     2.00  -100.00     0.00    -0.10     0.05    -0.11     0.14     1.19     1.49     1.36    -1.36    -0.19     0.04    -0.12     0.28   800.64   768.10
     2.00     0.00   100.00     0.05     0.20    -0.14     0.17     1.49     1.78     1.36    -1.36     0.04     0.27    -0.28     0.43   768.10   735.80
     2.00     0.00  -100.00     0.05    -0.10    -0.14     0.11     1.49     1.19     1.36    -1.36     0.04    -0.19    -0.28     0.12   768.10   800.64
     4.00   100.00     0.00     0.25     0.10    -0.32     0.29     3.27     2.98     1.41    -1.42     0.30     0.07    -0.51     0.35   791.67   823.84
     4.00  -100.00     0.00    -0.05     0.10    -0.26     0.29     2.69     2.98     1.42    -1.42    -0.16     0.07    -0.19     0.35   856.24   823.84
     4.00     0.00   100.00     0.10     0.25    -0.29     0.32     2.98     3.27     1.42    -1.41     0.07     0.30    -0.35     0.51   823.84   791.67
     4.00     0.00  -100.00     0.10    -0.05    -0.29     0.26     2.98     2.69     1.42    -1.42     0.07    -0.16    -0.35     0.19   823.84   856.24
     6.00   100.00     0.00     0.30     0.15    -0.48     0.45     4.77     4.48     1.47    -1.47     0.34     0.11    -0.58     0.43   847.17   879.21
