
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.7                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Force Z at Wheel Center                            FSE04 rear suspension                               

   WhTra  ForceZ_L ForceZ_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
     [mm]      [N]      [N]     [mm]     [mm]     [mm]     [mm]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]    [deg]    [deg]      [N]      [N]

     0.00  1000.00     0.00     0.26     0.00    -0.81     0.00     7.77     0.00     1.60    -1.30     0.19     0.00    -0.59     0.20     0.00   712.01
     0.00 -1000.00     0.00    -0.21     0.00     0.54     0.00    -6.74     0.00     1.04    -1.30    -0.17     0.00     0.15     0.20  1453.66   712.01
     0.00     0.00  1000.00     0.00     0.26     0.00     0.81     0.00     7.77     1.30    -1.60     0.00     0.19    -0.20     0.59   712.01     0.00
     0.00     0.00 -1000.00     0.00    -0.21     0.00    -0.54     0.00    -6.74     1.30    -1.04     0.00    -0.17    -0.20    -0.15   712.01  1453.66
     2.00  1000.00     0.00     0.27     0.05    -0.88     0.14     8.30     1.49     1.62    -1.36     0.21     0.04    -0.61     0.28    19.14   768.10
     2.00 -1000.00     0.00    -0.17     0.05     0.44     0.14    -5.26     1.49     1.10    -1.36    -0.13     0.04     0.07     0.28  1511.03   768.10
     2.00     0.00  1000.00     0.05     0.27    -0.14     0.88     1.49     8.30     1.36    -1.62     0.04     0.21    -0.28     0.61   768.10    19.14
     2.00     0.00 -1000.00     0.05    -0.17    -0.14    -0.44     1.49    -5.26     1.36    -1.10     0.04    -0.13    -0.28    -0.07   768.10  1511.03
     4.00  1000.00     0.00     0.33     0.10    -1.06     0.29     9.80     2.98     1.68    -1.42     0.24     0.07    -0.69     0.35    73.18   823.84
     4.00 -1000.00     0.00    -0.12     0.10     0.32     0.29    -3.78     2.98     1.15    -1.42    -0.10     0.07     0.00     0.35  1568.11   823.84
     4.00     0.00  1000.00     0.10     0.33    -0.29     1.06     2.98     9.80     1.42    -1.68     0.07     0.24    -0.35     0.69   823.84    73.18
     4.00     0.00 -1000.00     0.10    -0.12    -0.29    -0.32     2.98    -3.78     1.42    -1.15     0.07    -0.10    -0.35     0.00   823.84  1568.11
     6.00  1000.00     0.00     0.38     0.15    -1.25     0.45    11.32     4.48     1.74    -1.47     0.28     0.11    -0.76     0.43   126.74   879.21
     6.00 -1000.00     0.00    -0.07     0.15     0.20     0.45    -2.30     4.48     1.21    -1.47    -0.06     0.11    -0.08     0.43  1624.89   879.21
     6.00     0.00  1000.00     0.15     0.38    -0.45     1.25     4.48    11.32     1.47    -1.74     0.11     0.28    -0.43     0.76   879.21   126.74
     6.00     0.00 -1000.00     0.15    -0.07    -0.45    -0.20     4.48    -2.30     1.47    -1.21     0.11    -0.06    -0.43     0.08   879.21  1624.89
     8.00  1000.00     0.00     0.43     0.20    -1.46     0.61    12.83     5.98     1.80    -1.53     0.32     0.15    -0.83     0.50   179.81   934.19
     8.00 -1000.00     0.00    -0.03     0.20     0.07     0.61    -0.81     5.98     1.27    -1.53    -0.02     0.15    -0.16     0.50  1681.35   934.19
     8.00     0.00  1000.00     0.20     0.43    -0.61     1.46     5.98    12.83     1.53    -1.80     0.15     0.32    -0.50     0.83   934.19   179.81
     8.00     0.00 -1000.00     0.20    -0.03    -0.61    -0.07     5.98    -0.81     1.53    -1.27     0.15    -0.02    -0.50     0.16   934.19  1681.35
    10.00  1000.00     0.00     0.48     0.25    -1.66     0.78    14.35     7.48     1.86    -1.59     0.35     0.19    -0.90     0.57   232.36   988.75
    10.00 -1000.00     0.00     0.02     0.25    -0.06     0.78     0.68     7.48     1.33    -1.59     0.02     0.19    -0.23     0.57  1737.49   988.75
    10.00     0.00  1000.00     0.25     0.48    -0.78     1.66     7.48    14.35     1.59    -1.86     0.19     0.35    -0.57     0.90   988.75   232.36
